







date,confirmed,cured,dead
03-11-2020,4,1,0
03-12-2020,4,1,0
03-13-2020,10,1,0
03-14-2020,10,1,0
03-15-2020,24,1,0
03-16-2020,24,2,0
03-17-2020,26,2,0
03-18-2020,31,2,0
03-19-2020,31,2,0
03-20-2020,38,2,0
03-21-2020,47,5,0
03-22-2020,67,5,0
03-23-2020,79,8,0
03-24-2020,86,8,0
03-25-2020,99,9,0
03-26-2020,105,9,0
03-27-2020,119,11,0
03-28-2020,130,18,0
03-29-2020,142,27,0
03-30-2020,162,27,0
03-31-2020,175,40,0
04-01-2020,190,45,1
04-02-2020,195,55,1
04-03-2020,207,66,1
04-04-2020,219,72,2
04-05-2020,222,82,2
04-06-2020,226,92,2
04-07-2020,237,105,2
04-08-2020,244,113,2
04-09-2020,250,123,2
04-10-2020,265,137,2
04-11-2020,278,152,2
04-12-2020,280,171,2
04-13-2020,291,178,2
04-14-2020,299,183,2
04-15-2020,314,190,2
04-16-2020,335,194,2
04-17-2020,342,198,2
04-18-2020,350,211,3
04-19-2020,367,220,3
04-20-2020,377,235,5
04-21-2020,412,242,5
04-22-2020,442,253,6
04-23-2020,479,257,6
04-24-2020,545,262,7
04-25-2020,614,276,7
04-26-2020,671,283,9
04-27-2020,736,284,9
04-28-2020,823,296,9
04-29-2020,882,315,9
04-30-2020,933,334,9
05-01-2020,1024,356,9
05-02-2020,1115,368,9
05-03-2020,1182,372,9
05-04-2020,1271,415,10
05-05-2020,1329,470,11
05-05-2020,1329,470,11
05-06-2020,1433,493,12
05-07-2020,1492,562,13
05-08-2020,1551,611,13
05-09-2020,1634,643,17
05-10-2020,1709,650,19
05-11-2020,1886,715,19
05-12-2020,1995,742,19
05-12-2020,1995,742,19
05-13-2020,2105,782,21
05-14-2020,2189,842,23
05-14-2020,2189,842,23
05-15-2020,2310,890,25
05-16-2020,2429,949,25
05-17-2020,2480,973,25
05-18-2020,2544,1076,26
05-19-2020,2617,1133,30
05-19-2020,2617,1133,30
05-20-2020,2714,1186,30
05-21-2020,2812,1251,33
05-22-2020,2909,1311,33
05-23-2020,2976,1416,34
05-24-2020,3047,1456,35
05-25-2020,3130,1515,35
05-26-2020,3161,1565,36
05-27-2020,3253,1586,38
05-28-2020,3348,1686,39
05-29-2020,3429,1738,41
05-30-2020,3535,1761,42
05-31-2020,3645,1801,42
06-01-2020,3739,1858,42
06-02-2020,3836,1954,43
06-03-2020,3932,2063,45
06-04-2020,4021,2162,45
06-05-2020,4155,2276,45
06-06-2020,4249,2512,47
06-06-2020,4249,2512,47
06-07-2020,4328,2588,49
06-08-2020,4427,2699,49
06-09-2020,4516,2809,52
06-10-2020,4640,2885,52
06-11-2020,4759,2994,55
06-12-2020,4851,3100,56
06-13-2020,4996,3228,60
06-14-2020,5090,3344,60
06-15-2020,5173,3424,64
06-16-2020,5247,3525,70
06-17-2020,5369,3606,73
06-18-2020,5475,3716,76
06-19-2020,5639,3788,79
06-20-2020,5783,3859,82
06-21-2020,5888,3919,84
06-22-2020,5970,3953,86
06-23-2020,6034,4046,89
06-24-2020,6129,4072,93
06-25-2020,6233,4162,94
06-26-2020,6354,4193,98
06-27-2020,6459,4255,102
06-28-2020,6586,4291,105
06-29-2020,6698,4341,108
06-30-2020,6793,4431,112
07-01-2020,6925,4545,116
07-02-2020,7054,4599,121
07-03-2020,7164,4666,125
07-04-2020,7272,4713,129
07-05-2020,7400,4870,133
07-06-2020,7478,4870,136
07-07-2020,7547,5023,137
07-08-2020,7657,5097,141
07-09-2020,7784,5169,143
07-10-2020,7882,5311,145
07-11-2020,8014,5381,145
07-12-2020,8135,5446,148
07-13-2020,8198,5514,150
07-14-2020,8243,5580,150
07-15-2020,8369,5605,153
07-16-2020,8481,5735,156
07-17-2020,8544,5809,160
07-18-2020,8669,5859,163
07-18-2020,8669,5859,163
07-18-2020,8669,5859,163
07-19-2020,8810,5948,167
07-20-2020,8948,6002,170
07-21-2020,8985,6044,174
07-22-2020,9121,6108,177
07-23-2020,9266,6170,178
07-24-2020,9422,6291,182
07-25-2020,9552,6364,187
07-26-2020,9681,6409,191
07-27-2020,9764,6477,194
07-28-2020,9805,6591,198
07-28-2020,9805,6591,198
07-29-2020,9961,6655,200
07-30-2020,10106,6725,204
07-31-2020,10232,6776,205
08-01-2020,10284,6822,209
08-02-2020,10344,6838,209
08-03-2020,10386,6901,211
08-04-2020,10432,6920,214
08-05-2020,10538,6988,218
08-06-2020,10715,7101,223
08-07-2020,10887,7186,225
08-08-2020,11003,7329,229
08-09-2020,11175,7352,232
08-10-2020,11312,7390,236
08-11-2020,11380,7449,238
08-12-2020,11587,7523,242
08-13-2020,11740,7572,244
08-14-2020,11872,7615,249
08-15-2020,12032,7637,251
08-16-2020,12162,7677,253
08-17-2020,12237,7728,256
08-18-2020,12305,7767,256
08-19-2020,12446,7877,258
08-20-2020,12559,8050,261
08-21-2020,12689,8165,262
08-22-2020,12850,8165,266
08-23-2020,12949,8455,269
08-24-2020,13013,8595,272
08-25-2020,13056,8715,274
08-26-2020,13186,8852,275
08-27-2020,13294,8974,277
08-28-2020,13384,9091,279
08-29-2020,13456,9233,282
08-30-2020,13556,9388,284
08-31-2020,13611,9439,284
09-01-2020,13655,9484,284
09-02-2020,13743,9506,287
09-03-2020,13826,9553,287
09-04-2020,13881,9723,289
09-05-2020,13948,9851,290
