







date,confirmed,cured,dead
03-11-2020,314,1,3
03-12-2020,314,1,3
03-13-2020,559,1,3
03-14-2020,689,1,4
03-15-2020,886,1,4
03-16-2020,1058,1,5
03-17-2020,1243,1,10
03-18-2020,1486,31,14
03-19-2020,1795,31,21
03-20-2020,2257,1,37
03-21-2020,2815,263,67
03-22-2020,3401,263,75
03-23-2020,3743,401,88
03-24-2020,4269,461,122
03-25-2020,4937,547,178
03-26-2020,6235,675,220
03-27-2020,7284,858,289
03-28-2020,9134,1063,353
03-29-2020,10836,1359,431
03-30-2020,11899,1527,513
03-31-2020,12775,1696,705
04-01-2020,13964,2132,828
04-02-2020,15348,2495,1011
04-03-2020,16770,2872,1143
04-04-2020,18431,3247,1283
04-05-2020,19691,3751,1447
04-06-2020,20814,3986,1632
04-07-2020,22194,4157,2035
04-08-2020,23403,4681,2240
04-09-2020,24983,5164,2523
04-10-2020,26667,5568,3019
04-11-2020,28018,5986,3346
04-12-2020,29647,6463,3600
04-13-2020,30589,6707,3903
04-14-2020,31119,6868,4157
04-15-2020,33573,7107,4440
04-16-2020,34809,7562,4857
04-17-2020,36138,7961,5163
04-18-2020,37183,8348,5453
04-19-2020,38496,8757,5683
04-20-2020,39983,8895,5828
04-21-2020,40956,9002,5998
04-22-2020,41889,9433,6262
04-23-2020,42797,9800,6490
04-24-2020,44293,10122,6679
04-25-2020,45325,10417,6917
04-26-2020,46134,10785,7094
04-27-2020,46687,10878,7207
04-28-2020,47334,10943,7331
04-29-2020,47859,11283,7501
04-30-2020,48519,11576,7594
05-01-2020,49032,11892,7703
05-02-2020,49517,12211,7765
05-03-2020,49906,12309,7844
05-04-2020,50267,12378,7924
05-05-2020,50509,12441,8016
05-05-2020,50509,12441,8016
05-06-2020,50781,12731,8339
05-07-2020,51420,12980,8415
05-08-2020,52011,13201,8521
05-09-2020,52596,13411,8581
05-10-2020,53081,13642,8656
05-11-2020,53449,13697,8707
05-12-2020,53779,13732,8761
05-12-2020,53779,13732,8761
05-13-2020,53981,13937,8843
05-14-2020,54288,14111,8903
05-14-2020,54288,14111,8903
05-15-2020,54644,14301,8959
05-16-2020,54989,14460,9005
05-17-2020,55280,14630,9052
05-18-2020,55559,14657,9080
05-19-2020,55791,14687,9108
05-19-2020,55791,14687,9108
05-20-2020,55983,14847,9150
05-21-2020,56235,14988,9186
05-22-2020,56511,15123,9212
05-23-2020,56810,15155,9237
05-24-2020,57092,15272,9280
05-25-2020,57342,15297,9312
05-26-2020,57455,15320,9334
05-27-2020,57592,15465,9364
05-28-2020,57849,15572,9388
05-29-2020,58061,15682,9430
05-30-2020,58186,15769,9453
05-31-2020,58381,15887,9467
06-01-2020,58517,15919,9486
06-02-2020,58615,15934,9505
06-03-2020,58685,15959,9522
06-04-2020,58767,16048,9548
06-05-2020,58907,16112,9566
06-06-2020,59072,16190,9580
06-06-2020,59072,16190,9580
06-07-2020,59226,16291,9595
06-08-2020,59348,16315,9606
06-09-2020,59437,16324,9619
06-10-2020,59569,16392,9629
06-11-2020,59711,16453,9636
06-12-2020,59819,16498,9646
06-13-2020,59918,16547,9650
06-14-2020,60029,16589,9655
06-15-2020,60100,16610,9661
06-16-2020,60155,16625,9663
06-17-2020,60244,16684,9675
06-18-2020,60348,16724,9683
06-19-2020,60476,16751,9695
06-20-2020,60550,16771,9696
06-21-2020,60550,16771,9696
06-22-2020,60550,16771,9696
06-23-2020,60810,16771,9713
06-24-2020,60898,16771,9722
06-25-2020,61007,16890,9726
06-26-2020,61106,16918,9731
06-27-2020,61209,16941,9732
06-28-2020,61295,16941,9732
06-29-2020,61361,16941,9732
06-30-2020,61427,16984,9747
07-01-2020,61509,17021,9754
07-02-2020,61598,17044,9761
07-03-2020,61727,17073,9765
07-04-2020,61838,17091,9771
07-05-2020,62016,17091,9771
07-06-2020,62058,17091,9774
07-07-2020,62058,17122,9774
07-08-2020,62123,17138,9776
07-09-2020,62210,17159,9778
07-10-2020,62357,17179,9781
07-11-2020,62469,17196,9782
07-12-2020,62707,17196,9782
07-13-2020,62707,17196,9782
07-14-2020,62781,17223,9787
07-15-2020,62872,17242,9788
07-16-2020,63238,17253,9795
07-17-2020,63499,17289,9800
07-18-2020,63706,17289,9800
07-18-2020,63706,17289,9800
07-18-2020,63706,17289,9800
07-19-2020,63706,17289,9800
07-20-2020,64094,17321,9805
07-21-2020,64258,17330,9805
07-22-2020,64627,17347,9808
07-23-2020,64847,17369,9812
07-24-2020,65199,17394,9817
07-25-2020,65727,17425,9821
07-26-2020,66026,17438,9821
07-27-2020,66428,17452,9822
07-28-2020,66662,17476,9833
07-28-2020,66662,17476,9833
07-29-2020,67335,17491,9836
07-30-2020,68006,17513,9840
07-31-2020,68751,17546,9841
08-01-2020,69402,17573,9845
08-02-2020,69849,17590,9845
08-03-2020,70314,17598,9850
08-04-2020,70648,17639,9852
08-05-2020,71158,17661,9859
08-06-2020,72016,17700,9861
08-07-2020,72784,17728,9866
08-08-2020,73401,17766,9870
08-09-2020,74152,17780,9872
08-10-2020,74620,17792,9879
08-11-2020,75008,17841,9885
08-12-2020,75647,17883,9900
08-13-2020,76191,17913,9916
08-14-2020,77113,17941,9924
08-15-2020,77869,17981,9935
08-16-2020,78323,17994,9939
08-17-2020,78534,18003,9944
08-18-2020,78897,18048,9959
08-19-2020,79479,18078,9969
08-20-2020,80178,18131,9976
08-21-2020,80894,18165,9985
08-22-2020,81468,18204,9988
08-23-2020,81936,18225,9992
08-24-2020,82092,18242,9996
08-25-2020,82447,18291,9996
08-26-2020,83030,18331,9879
08-27-2020,83500,18360,9884
08-28-2020,83952,18360,9886
08-29-2020,84599,18403,9891
08-30-2020,85042,18415,9894
08-31-2020,85236,18422,9895
09-01-2020,85487,18457,9897
09-02-2020,85911,18490,9898
09-03-2020,86544,18513,9899
09-04-2020,87174,18534,9901
09-05-2020,87825,18555,9906
09-06-2020,88367,18565,9907
09-07-2020,88769,18576,9909
09-08-2020,89141,18602,9912
09-09-2020,89691,18635,9917
09-10-2020,90568,18659,9917
09-11-2020,91537,18689,9919
09-12-2020,92478,18709,9923
09-13-2020,93455,18723,9925
09-14-2020,94306,18737,9927
09-15-2020,94795,18789,9930
09-16-2020,95948,18810,9935
09-17-2020,97976,18854,9936
09-18-2020,99649,18908,9937
09-19-2020,100748,18945,9944
09-20-2020,102295,18965,9948
09-21-2020,103392,18977,9950
09-22-2020,105226,19039,9955
09-23-2020,106887,19079,9959
09-24-2020,108768,19123,9965
09-25-2020,110976,19184,9969
09-26-2020,112803,19246,9974
09-27-2020,114179,19275,9980
09-28-2020,115353,19301,9987
09-29-2020,117115,19386,10001
09-30-2020,118452,19454,10016
10-01-2020,121059,19521,10023
10-02-2020,124234,19521,10037
10-03-2020,127623,19645,10044
10-04-2020,130235,19679,10064
10-05-2020,132203,19712,10078
10-06-2020,134291,19812,10092
