date,confirmed,cured,dead
08-04-2020,1300,1048,37
08-05-2020,1309,1065,37
08-06-2020,1318,1079,37
08-07-2020,1325,1095,37
08-08-2020,1335,1112,37
08-09-2020,1353,1125,37
08-10-2020,1364,1146,37
08-11-2020,1385,1157,37
08-12-2020,1393,1163,37
08-13-2020,1409,1180,37
08-14-2020,1421,1182,38
08-15-2020,1434,1194,38
08-16-2020,1440,1200,38
08-17-2020,1457,1205,40
08-18-2020,1485,1219,40
08-19-2020,1493,1228,40
08-20-2020,1506,1242,41
08-21-2020,1516,1249,42
08-22-2020,1521,1264,42
08-23-2020,1527,1276,42
08-24-2020,1533,1295,42
08-25-2020,1536,1309,43
08-26-2020,1543,1322,43
08-27-2020,1551,1333,43
08-28-2020,1556,1352,43
08-29-2020,1570,1364,44
08-30-2020,1585,1378,44
08-31-2020,1595,1409,44
09-01-2020,1611,1419,44
09-02-2020,1626,1433,44
09-03-2020,1636,1437,44
09-04-2020,1653,1446,45
09-05-2020,1669,1459,45
09-06-2020,1679,1459,45
09-07-2020,1693,1466,45
09-08-2020,1712,1476,45
09-09-2020,1741,1478,45
09-10-2020,1759,1484,45
09-11-2020,1773,1490,45
09-12-2020,1780,1502,45
09-13-2020,1808,1513,45
09-14-2020,1812,1528,45
09-15-2020,1827,1545,45
09-16-2020,1856,1559,45
09-17-2020,1876,1582,46
09-18-2020,1890,1603,46
09-19-2020,1904,1612,46
09-20-2020,1917,1621,46
09-21-2020,1927,1634,46
09-22-2020,1934,1645,46
09-23-2020,1946,1661,47
09-24-2020,1959,1679,47
09-25-2020,1967,1710,47
09-26-2020,1998,1716,47
09-27-2020,2008,1728,47
09-28-2020,2010,1755,47
09-29-2020,2033,1771,48
09-30-2020,2046,1791,48
10-01-2020,2061,1809,48
10-02-2020,2097,1824,48
10-03-2020,2122,1831,48
10-04-2020,2145,1844,48
10-05-2020,2155,1862,48
10-06-2020,2177,1878,49
10-07-2020,2206,1890,49
10-08-2020,2226,1904,49
10-09-2020,2251,1917,49
10-10-2020,2268,1930,50
10-11-2020,2294,1942,50
10-12-2020,2313,1950,51
10-13-2020,2337,1987,51
10-14-2020,2388,2007,51
10-15-2020,2417,2025,51
10-16-2020,2450,2042,51
10-17-2020,2501,2052,51
10-18-2020,2531,2105,51
10-19-2020,2560,2121,51
10-20-2020,2623,2142,52
10-21-2020,2663,2172,53
10-22-2020,2701,2204,53
10-23-2020,2759,2241,53
10-24-2020,2807,2301,53
10-25-2020,2851,2351,53
10-26-2020,2872,2411,54
10-27-2020,2916,2455,54
10-28-2020,2981,2481,55
10-29-2020,3044,2504,57
10-30-2020,3082,2532,58
10-31-2020,3124,2560,58
11-01-2020,3149,2601,59
11-02-2020,3165,2658,60
11-03-2020,3196,2727,61
11-04-2020,3245,2770,61
11-05-2020,3309,2814,61
11-06-2020,3370,2853,61
11-07-2020,3441,2903,61
11-08-2020,3514,2943,62
11-09-2020,3560,2993,62
11-10-2020,3620,3034,62
11-11-2020,3700,3078,63
11-12-2020,3795,3103,63
11-13-2020,3883,3135,64
11-14-2020,3957,3175,64
11-15-2020,4030,3233,65
11-16-2020,4104,3284,67
11-17-2020,4208,3348,68
11-18-2020,4296,3404,68
11-19-2020,4377,3479,69
11-20-2020,4477,3547,69
11-21-2020,4564,3621,69
11-22-2020,4699,3679,71
11-23-2020,4763,3764,71
11-24-2020,4870,3827,72
11-25-2020,4988,3923,73
11-26-2020,5117,4021,74
11-27-2020,5303,4107,74
11-28-2020,5511,4185,75
11-29-2020,5716,4267,76
11-30-2020,5857,4357,77
12-01-2020,6024,4483,78
12-02-2020,6225,4584,80
12-03-2020,6455,4707,80
12-04-2020,6731,4826,80
12-05-2020,6965,4946,81
12-06-2020,7303,5062,82
12-07-2020,7505,5240,83
12-08-2020,7806,5415,86
12-09-2020,8104,5564,87
12-10-2020,8487,5747,90
12-11-2020,8849,5941,90
12-12-2020,9180,6155,91
12-13-2020,9708,6358,92
12-14-2020,10029,6593,95
12-15-2020,10418,6895,98
12-16-2020,10893,7142,102
12-17-2020,11436,7406,105
12-18-2020,11950,7699,109
12-19-2020,12557,8002,114
