







date,confirmed,cured,dead
03-11-2020,9,3,0
03-12-2020,12,3,0
03-13-2020,27,3,0
03-14-2020,27,3,0
03-15-2020,27,3,0
03-16-2020,36,3,0
03-17-2020,36,3,0
03-18-2020,51,5,0
03-19-2020,51,5,0
03-20-2020,69,5,0
03-21-2020,76,15,0
03-22-2020,76,15,0
03-23-2020,81,22,0
03-24-2020,81,22,0
03-25-2020,86,29,0
03-26-2020,86,29,0
03-27-2020,94,32,0
03-28-2020,94,32,0
03-29-2020,94,32,0
03-30-2020,152,32,0
03-31-2020,152,47,1
04-01-2020,163,53,2
04-02-2020,304,53,4
04-03-2020,351,53,4
04-04-2020,440,53,5
04-05-2020,562,52,8
04-06-2020,700,53,13
04-07-2020,861,54,13
04-08-2020,1066,77,13
04-09-2020,1486,139,16
04-10-2020,1981,169,19
04-11-2020,2226,172,23
04-12-2020,2578,203,26
04-13-2020,2919,203,29
04-14-2020,3281,203,33
04-15-2020,3728,203,36
04-16-2020,4204,203,40
04-17-2020,4779,342,42
04-18-2020,4779,342,45
04-19-2020,4779,494,47
04-20-2020,6264,514,51
04-21-2020,6723,577,55
04-22-2020,7281,769,58
04-23-2020,8022,938,60
04-24-2020,8773,1120,63
04-25-2020,9590,1573,67
04-26-2020,10463,1695,72
04-27-2020,11289,1740,75
04-28-2020,12208,1993,79
04-29-2020,13181,2072,84
04-30-2020,14027,2386,89
05-01-2020,14917,2918,93
05-02-2020,15828,3117,97
05-03-2020,16705,3196,99
05-04-2020,17489,3259,103
05-05-2020,18350,3771,107
05-05-2020,18350,3771,107
05-06-2020,19255,4388,112
05-07-2020,20168,5067,116
05-08-2020,21101,5484,121
05-09-2020,22052,6050,126
05-10-2020,22973,6406,131
05-11-2020,23906,6531,135
05-12-2020,24873,6974,142
05-12-2020,24873,6974,142
05-13-2020,25825,7711,146
05-14-2020,26772,8168,151
05-14-2020,26772,8168,151
05-15-2020,27730,8807,156
05-16-2020,28681,9498,160
05-17-2020,29650,9932,165
05-18-2020,30572,10130,171
05-19-2020,31508,10620,175
05-19-2020,31508,10620,175
05-20-2020,32426,11415,179
05-21-2020,33371,12057,185
05-22-2020,34303,12833,190
05-23-2020,35244,13528,194
05-24-2020,36198,14155,199
05-25-2020,37144,14449,204
05-26-2020,38059,15086,208
05-27-2020,38956,15923,214
05-28-2020,39858,16660,219
05-29-2020,40764,17390,224
05-30-2020,41658,17964,229
05-31-2020,42556,18514,235
06-01-2020,43403,18776,240
06-02-2020,44255,19195,243
06-03-2020,45116,20171,248
06-04-2020,45981,21162,253
06-05-2020,46868,22066,259
06-06-2020,47751,23015,263
06-06-2020,47751,23015,263
06-07-2020,48630,23647,269
06-08-2020,49453,23880,276
06-09-2020,50265,24506,282
06-10-2020,51066,25667,288
06-11-2020,51816,26643,293
06-12-2020,52520,27760,298
06-13-2020,53241,29111,303
06-14-2020,53973,30103,308
06-15-2020,54680,30420,312
06-16-2020,55369,31273,318
06-17-2020,56032,32735,324
06-18-2020,56657,34023,331
06-19-2020,57333,35275,337
06-20-2020,57936,36749,343
06-21-2020,58505,37666,346
06-22-2020,59023,37923,351
06-23-2020,59487,38688,357
06-24-2020,59945,40136,362
06-25-2020,60382,41448,367
06-26-2020,60713,42689,373
