







date,confirmed,cured,dead
03-11-2020,3,0,0
03-12-2020,3,0,0
03-13-2020,6,0,0
03-14-2020,12,0,0
03-15-2020,23,0,0
03-16-2020,23,0,0
03-17-2020,30,1,0
03-18-2020,30,1,1
03-19-2020,49,1,1
03-20-2020,66,1,1
03-21-2020,80,1,1
03-22-2020,94,1,1
03-23-2020,109,2,1
03-24-2020,125,2,1
03-25-2020,149,2,1
03-26-2020,177,2,1
03-27-2020,199,2,2
03-28-2020,231,2,2
03-29-2020,263,2,2
03-30-2020,298,15,2
03-31-2020,353,18,4
04-01-2020,423,23,5
04-02-2020,505,23,6
04-03-2020,591,26,8
04-04-2020,752,29,12
04-05-2020,864,30,15
04-06-2020,965,37,19
04-07-2020,1056,40,22
04-08-2020,1174,40,27
04-09-2020,1289,50,29
04-10-2020,1438,56,29
04-11-2020,1560,75,30
04-12-2020,1662,94,31
04-13-2020,1712,107,35
04-14-2020,1934,134,40
04-15-2020,2049,171,46
04-16-2020,2154,235,54
04-17-2020,2264,276,56
04-18-2020,2378,391,57
04-19-2020,2472,457,67
04-20-2020,2548,457,70
04-21-2020,2614,505,72
04-22-2020,2778,560,75
04-23-2020,2926,661,80
04-24-2020,3110,755,84
04-25-2020,3304,825,94
04-26-2020,3408,895,96
04-27-2020,3481,925,102
04-28-2020,3638,975,103
04-29-2020,3771,1114,111
04-30-2020,3897,1182,116
05-01-2020,3980,1272,122
05-02-2020,4052,1334,124
05-03-2020,4121,1382,125
05-04-2020,4248,1423,132
05-05-2020,4363,1544,136
05-05-2020,4363,1544,136
05-06-2020,4476,1658,143
05-07-2020,4605,1747,145
05-08-2020,4728,1826,150
05-09-2020,4867,1925,161
05-10-2020,4927,1958,169
05-11-2020,4995,1980,175
05-12-2020,5154,2069,182
05-12-2020,5154,2069,182
05-13-2020,5406,2176,185
05-14-2020,5553,2228,194
05-14-2020,5553,2228,194
05-15-2020,5745,2228,202
05-16-2020,5934,2344,207
05-17-2020,6060,2344,211
05-18-2020,6138,2425,217
05-19-2020,6340,2508,221
05-19-2020,6340,2508,221
05-20-2020,6553,2953,228
05-21-2020,6704,2953,233
05-22-2020,6847,3369,237
05-23-2020,6994,3452,242
05-24-2020,7093,3713,250
05-25-2020,7147,3802,261
05-26-2020,7305,3884,267
05-27-2020,7537,3884,274
05-28-2020,7725,4123,282
05-29-2020,7896,4278,288
05-30-2020,8098,4455,291
05-31-2020,8251,4581,295
06-01-2020,8360,4622,305
06-02-2020,8548,4738,307
06-03-2020,8795,4863,310
06-04-2020,9018,5009,315
06-05-2020,9247,5240,323
06-06-2020,9511,5450,331
06-06-2020,9511,5450,331
06-07-2020,9700,5638,341
06-08-2020,9807,5738,353
06-09-2020,10025,5797,365
06-10-2020,10321,5930,371
06-11-2020,10727,6072,375
06-12-2020,11093,6229,385
06-13-2020,11459,6421,398
06-14-2020,11740,6623,406
06-15-2020,11879,6794,411
06-16-2020,12254,6901,423
06-17-2020,12732,7077,433
06-18-2020,13106,7252,444
06-19-2020,13556,7525,450
06-20-2020,13953,7745,464
06-21-2020,14200,7896,473
06-22-2020,14363,8019,480
06-23-2020,14714,8212,490
06-24-2020,15078,8400,495
06-25-2020,15453,8599,502
06-26-2020,15776,8765,515
06-27-2020,16080,8963,521
06-28-2020,16250,9081,530
06-29-2020,16357,9229,536
06-30-2020,16613,9382,545
07-01-2020,16898,9594,549
07-02-2020,17150,9846,560
07-03-2020,17445,10093,572
07-04-2020,17672,10396,580
07-05-2020,17814,10718,585
07-06-2020,17906,11047,592
07-07-2020,18141,11241,603
07-08-2020,18471,11549,614
07-09-2020,18666,11936,624
07-10-2020,18924,12188,635
07-11-2020,19208,12456,640
07-12-2020,19382,12667,642
07-13-2020,19439,12793,649
07-14-2020,19708,13033,655
07-15-2020,20040,13298,659
07-16-2020,20264,13640,666
07-17-2020,20494,13913,675
07-18-2020,20794,14183,680
07-18-2020,20794,14183,680
07-18-2020,20794,14183,680
07-19-2020,20980,14376,684
07-20-2020,21115,14467,695
07-21-2020,21442,14599,707
07-22-2020,21798,14856,712
07-23-2020,22105,15174,719
07-24-2020,22483,15407,726
07-25-2020,22828,15608,732
07-26-2020,23034,15909,735
07-27-2020,23154,16154,748
07-28-2020,23521,16462,753
07-28-2020,23521,16462,753
07-29-2020,23947,16785,759
07-30-2020,24343,17040,771
07-31-2020,24733,17269,778
08-01-2020,25113,17571,788
08-02-2020,25362,17816,791
08-03-2020,25482,17942,800
08-04-2020,25814,18167,810
08-05-2020,26222,18167,823
08-06-2020,26628,18676,828
08-07-2020,26990,18918,835
08-08-2020,27443,19100,841
08-09-2020,27660,19300,845
08-10-2020,27841,19300,850
08-11-2020,28223,19740,857
08-12-2020,28697,19998,863
08-13-2020,29087,20276,878
08-14-2020,29483,20556,884
08-15-2020,29905,20908,895
08-16-2020,30183,21220,896
08-17-2020,30377,21220,908
08-18-2020,30789,21885,908
08-19-2020,31415,21885,914
08-20-2020,31937,21885,921
08-21-2020,32484,22683,929
08-22-2020,33072,22683,935
08-23-2020,33478,22683,940
08-24-2020,33828,23570,945
08-25-2020,34358,23869,960
08-26-2020,34982,24156,967
08-27-2020,35546,24156,977
08-28-2020,35904,24156,981
08-29-2020,36404,25139,990
08-30-2020,36700,25139,992
08-31-2020,36920,25872,995
09-01-2020,37208,25872,1008
09-02-2020,37740,26189,1024
09-03-2020,38372,27017,1036
09-04-2020,38906,27017,1047
09-05-2020,39473,27799,1063
09-06-2020,39797,27799,1063
09-07-2020,40055,27799,1074
09-08-2020,40556,28578,1087
09-09-2020,41144,28962,1096
09-10-2020,41704,28962,1106
09-11-2020,42183,30437,1114
09-12-2020,42714,30437,1117
09-13-2020,42978,30437,1123
09-14-2020,43207,30437,1129
09-15-2020,43734,32293,1143
09-16-2020,44361,32732,1159
09-17-2020,44983,33239,1170
09-18-2020,45648,33734,1186
09-19-2020,46336,34236,1201
09-20-2020,46596,34236,1203
09-21-2020,46796,35018,1211
09-22-2020,47446,35542,1230
09-23-2020,48232,36071,1244
09-24-2020,48953,36643,1252
09-25-2020,49666,37023,1264
09-26-2020,50534,37440,1279
09-27-2020,50875,37842,1287
09-28-2020,51194,38217,1301
09-29-2020,52029,38579,1310
09-30-2020,53042,38997,1320
10-01-2020,54064,39499,1336
10-02-2020,55016,40002,1344
10-03-2020,55888,40475,1353
10-04-2020,56579,40955,1366
10-05-2020,56901,41467,1375
10-06-2020,57732,41938,1389
10-07-2020,58794,42480,1406
10-08-2020,59915,43008,1424
10-09-2020,60833,43489,1442
10-10-2020,61762,43982,1458
10-11-2020,62151,44357,1461
10-12-2020,62618,44728,1478
10-13-2020,63275,45102,1495
10-14-2020,64424,45545,1514
10-15-2020,65076,46010,1530
10-16-2020,65860,46543,1549
10-17-2020,66652,47230,1569
10-18-2020,67050,47842,1584
10-19-2020,67302,48493,1600
10-20-2020,67958,49083,1617
10-21-2020,68791,49702,1630
10-22-2020,69568,50422,1641
10-23-2020,70256,51102,1654
10-24-2020,71089,51719,1669
10-25-2020,71503,52290,1685
10-26-2020,71811,52730,1700
10-27-2020,72460,53201,1710
10-28-2020,73321,53816,1729
10-29-2020,74233,54495,1747
10-30-2020,75201,55190,1766
10-31-2020,76040,55782,1785
11-01-2020,76582,56312,1800
11-02-2020,76777,56875,1818
11-03-2020,77487,57402,1838
11-04-2020,78507,58292,1851
11-05-2020,79566,59220,1866
11-06-2020,80501,60220,1882
11-07-2020,81675,61314,1891
11-08-2020,82346,62508,1893
11-09-2020,82677,63646,1912
11-10-2020,83592,64826,1930
11-11-2020,84707,66115,1950
11-12-2020,86038,67270,1969
11-13-2020,87361,68392,1987
11-14-2020,88772,69526,2006
11-15-2020,89279,70812,2019
11-16-2020,89843,71874,2035
11-17-2020,90912,73059,2054
11-18-2020,92519,74229,2072
11-19-2020,93961,75530,2091
11-20-2020,95383,76880,2111
11-21-2020,96689,78112,2130
11-22-2020,97941,79556,2149
11-23-2020,98418,80882,2169
11-24-2020,99633,82335,2188
11-25-2020,101203,83789,2209
11-26-2020,102894,90485,2229
11-27-2020,104140,91797,2250
11-28-2020,105852,93028,2269
11-29-2020,107017,94586,2290
11-30-2020,107364,95354,2304
12-01-2020,108863,95918,2323
12-02-2020,110580,96711,2343
12-03-2020,112307,97549,2363
12-04-2020,113829,98276,2384
