







date,confirmed,cured,dead
03-11-2020,62,0,2
03-12-2020,69,0,3
03-13-2020,80,0,5
03-14-2020,80,4,5
03-15-2020,101,4,5
03-16-2020,109,4,7
03-17-2020,109,4,7
03-18-2020,119,4,11
03-19-2020,119,4,11
03-20-2020,144,4,14
03-21-2020,144,4,20
03-22-2020,175,4,20
03-23-2020,187,4,20
03-24-2020,187,4,21
03-25-2020,208,4,21
03-26-2020,208,4,21
03-27-2020,223,4,21
03-28-2020,224,6,22
03-29-2020,224,6,22
03-30-2020,230,13,25
03-31-2020,236,13,26
04-01-2020,236,13,26
04-02-2020,245,21,30
04-03-2020,245,21,30
04-04-2020,259,27,32
04-05-2020,266,35,32
04-06-2020,266,35,32
04-07-2020,279,40,34
04-08-2020,279,40,34
04-09-2020,333,49,34
04-10-2020,344,50,34
04-11-2020,356,53,35
04-12-2020,356,53,35
04-13-2020,356,53,35
04-14-2020,371,53,36
04-15-2020,372,53,36
04-16-2020,426,55,38
04-17-2020,435,57,39
04-18-2020,455,60,39
04-19-2020,461,60,39
04-20-2020,462,61,39
04-21-2020,476,62,40
04-22-2020,488,62,40
04-23-2020,501,63,40
04-24-2020,513,64,40
04-25-2020,513,64,40
04-26-2020,538,64,41
04-27-2020,538,64,41
04-28-2020,553,64,41
04-29-2020,563,69,41
04-30-2020,569,78,41
05-01-2020,580,82,41
05-02-2020,580,83,41
05-03-2020,582,86,41
05-04-2020,582,86,41
05-05-2020,589,92,41
05-05-2020,589,92,41
05-06-2020,608,97,41
05-07-2020,622,106,41
05-08-2020,623,114,41
05-09-2020,637,126,41
05-10-2020,628,126,41
05-11-2020,628,130,41
05-12-2020,638,161,41
05-12-2020,638,161,41
05-13-2020,643,161,41
05-14-2020,648,172,41
05-14-2020,648,172,41
05-15-2020,652,189,41
05-16-2020,653,198,41
05-17-2020,654,201,41
05-18-2020,654,203,41
05-19-2020,655,211,41
05-19-2020,655,211,41
05-20-2020,656,220,41
05-21-2020,658,235,41
05-22-2020,661,254,41
05-23-2020,665,266,42
05-24-2020,665,266,42
05-25-2020,666,270,42
