







date,confirmed,cured,dead
03-11-2020,59,1,0
03-12-2020,59,1,0
03-13-2020,155,1,0
03-14-2020,225,1,0
03-15-2020,244,10,0
03-16-2020,277,10,0
03-17-2020,321,10,0
03-18-2020,336,10,0
03-19-2020,400,10,0
03-20-2020,450,10,0
03-21-2020,523,10,1
03-22-2020,626,10,1
03-23-2020,700,10,1
03-24-2020,792,10,1
03-25-2020,880,10,3
03-26-2020,958,10,5
03-27-2020,1041,10,7
03-28-2020,1167,10,9
03-29-2020,1240,10,11
03-30-2020,1352,10,13
03-31-2020,1418,10,17
04-01-2020,1446,10,17
04-02-2020,1518,300,19
04-03-2020,1615,300,20
04-04-2020,1882,300,25
04-05-2020,1927,300,28
04-06-2020,2176,300,27
04-07-2020,2308,300,34
04-08-2020,2487,300,40
04-09-2020,2605,300,42
04-10-2020,2769,300,48
04-11-2020,2905,300,49
04-12-2020,2974,300,56
04-13-2020,3064,300,59
04-14-2020,3161,300,64
04-15-2020,3237,300,72
04-16-2020,3369,1700,75
04-17-2020,3489,1700,82
04-18-2020,3681,1700,90
04-19-2020,3783,1700,94
04-20-2020,3868,2000,98
04-21-2020,4014,2000,141
04-22-2020,4129,2000,149
04-23-2020,4284,2000,172
04-24-2020,4395,2500,177
04-25-2020,4475,2500,186
04-26-2020,4576,2500,190
04-27-2020,4695,2500,193
04-28-2020,4740,2800,199
04-29-2020,4906,2800,206
04-30-2020,4995,3000,211
05-01-2020,5051,3000,218
05-02-2020,5176,3000,220
05-03-2020,5254,3000,230
05-04-2020,5327,3500,240
05-05-2020,5412,3500,246
05-05-2020,5412,3500,246
05-06-2020,5573,3500,252
05-07-2020,5673,3500,255
05-08-2020,5738,4000,260
05-09-2020,5880,4000,265
05-10-2020,5962,4000,267
05-11-2020,5984,4000,271
05-12-2020,6003,4300,275
05-12-2020,6003,4300,275
05-13-2020,6054,4300,284
05-14-2020,6145,4300,287
05-14-2020,6145,4300,287
05-15-2020,6228,5000,293
05-16-2020,6286,5000,297
05-17-2020,6347,5000,298
05-18-2020,6380,5000,300
05-19-2020,6399,5000,301
05-19-2020,6399,5000,301
05-20-2020,6443,4800,304
05-21-2020,6493,4800,306
05-22-2020,6537,4800,306
05-23-2020,6568,4800,306
05-24-2020,6579,4800,307
05-25-2020,6599,5100,308
05-26-2020,6628,5100,312
05-27-2020,6692,5100,313
05-28-2020,6743,5500,313
05-29-2020,6776,5500,314
05-30-2020,6826,5500,316
05-31-2020,6859,5500,320
06-01-2020,6885,5500,318
06-02-2020,6887,5500,320
06-03-2020,6911,5500,321
06-04-2020,6911,5800,322
06-05-2020,6941,5800,322
06-06-2020,6964,5800,322
06-06-2020,6964,5800,322
06-07-2020,6981,5800,323
06-08-2020,7001,5800,323
06-09-2020,7025,5800,324
06-10-2020,7040,5800,324
06-11-2020,7064,6200,325
06-12-2020,7073,6200,325
06-13-2020,7087,6200,325
06-14-2020,7104,6200,326
06-15-2020,7108,6200,326
06-16-2020,7112,6200,326
06-17-2020,7117,6200,326
06-18-2020,7119,6200,326
06-19-2020,7133,6200,326
06-20-2020,7142,6200,326
06-21-2020,7143,6200,326
06-22-2020,7144,6400,327
06-23-2020,7155,6400,327
06-24-2020,7167,6600,327
06-25-2020,7172,6600,327
06-26-2020,7191,6600,328
06-27-2020,7198,6600,328
06-28-2020,7198,6600,328
06-29-2020,7209,6600,328
06-30-2020,7214,6600,328
07-01-2020,7236,6700,328
07-02-2020,7241,6700,328
07-03-2020,7242,6700,329
07-04-2020,7248,6700,329
07-05-2020,7253,6700,329
07-06-2020,7257,6700,329
07-07-2020,7262,6700,329
07-08-2020,7265,6800,329
07-09-2020,7273,6800,329
07-10-2020,7279,6800,329
07-11-2020,7291,6800,329
07-12-2020,7294,6800,329
07-13-2020,7295,6800,329
07-14-2020,7301,6800,329
07-15-2020,7296,6880,328
07-16-2020,7293,6880,328
07-17-2020,7301,6880,328
07-18-2020,7318,6880,328
07-18-2020,7318,6880,328
07-18-2020,7318,6880,328
07-19-2020,7335,6880,328
07-20-2020,7340,6880,328
07-21-2020,7351,6880,328
07-22-2020,7362,6920,328
07-23-2020,7372,6920,328
07-24-2020,7380,6920,329
07-25-2020,7388,6920,329
07-26-2020,7393,6920,329
07-27-2020,7398,6920,329
07-28-2020,7404,6920,329
07-28-2020,7404,6920,329
07-29-2020,7414,6950,329
07-30-2020,7423,6950,329
07-31-2020,7432,6950,329
08-01-2020,7443,6950,329
08-02-2020,7453,6950,329
08-03-2020,7466,6950,329
08-04-2020,7483,6950,331
08-05-2020,7512,6980,331
08-06-2020,7532,6980,331
08-07-2020,7554,6980,331
08-08-2020,7568,6980,331
08-09-2020,7584,6980,331
08-10-2020,7601,6980,333
08-11-2020,7623,6980,333
08-12-2020,7642,7050,333
08-13-2020,7683,7050,333
08-14-2020,7700,7050,333
08-15-2020,7720,7050,333
08-16-2020,7731,7050,333
08-17-2020,7752,7050,334
08-18-2020,7776,7050,334
08-19-2020,7805,7100,334
08-20-2020,7842,7100,334
08-21-2020,7871,7100,334
08-22-2020,7906,7100,334
08-23-2020,7920,7100,334
08-24-2020,7938,7100,335
08-25-2020,7981,7100,335
08-26-2020,8002,7200,335
08-27-2020,8019,7200,335
08-28-2020,8042,7200,335
08-29-2020,8049,7200,335
08-30-2020,8077,7200,335
08-31-2020,8086,7200,336
09-01-2020,8142,7200,336
09-02-2020,8161,7350,336
09-03-2020,8200,7350,336
09-04-2020,8225,7350,336
09-05-2020,8261,7350,336
09-06-2020,8291,7350,336
09-07-2020,8327,7350,336
09-08-2020,8337,7350,336
09-09-2020,8430,7500,337
09-10-2020,8469,7500,337
09-11-2020,8512,7500,337
09-12-2020,8557,7500,337
09-13-2020,8580,7500,337
09-14-2020,8627,7500,337
09-15-2020,8725,7500,339
09-16-2020,8750,7700,339
09-17-2020,8799,7700,339
09-18-2020,8858,7700,339
09-19-2020,8922,7700,339
09-20-2020,8980,7700,339
09-21-2020,9046,7700,341
09-22-2020,9195,7700,341
09-23-2020,9288,7850,343
09-24-2020,9379,7850,343
09-25-2020,9484,7850,343
09-26-2020,9577,7850,343
09-27-2020,9682,7850,343
