







date,confirmed,cured,dead
03-11-2020,17,0,0
03-12-2020,17,0,0
03-13-2020,17,0,0
03-14-2020,28,0,2
03-15-2020,28,0,2
03-16-2020,37,0,2
03-17-2020,58,0,2
03-18-2020,111,0,2
03-19-2020,199,0,3
03-20-2020,367,0,5
03-21-2020,506,3,7
03-22-2020,789,3,14
03-23-2020,981,3,18
03-24-2020,1082,3,27
03-25-2020,1173,3,28
03-26-2020,1403,3,34
03-27-2020,1595,3,36
03-28-2020,1823,3,48
03-29-2020,1924,3,58
03-30-2020,1962,3,60
03-31-2020,2240,54,75
04-01-2020,2748,58,93
04-02-2020,3163,65,120
04-03-2020,3368,65,145
04-04-2020,3465,100,172
04-05-2020,3646,100,180
04-06-2020,3747,100,191
04-07-2020,3747,100,191
04-08-2020,4450,140,242
04-09-2020,4965,339,272
04-10-2020,7161,368,297
04-11-2020,7257,411,315
04-12-2020,7466,501,333
04-13-2020,7529,597,355
04-14-2020,7603,696,369
04-15-2020,7858,780,388
04-16-2020,8225,838,403
04-17-2020,8450,838,421
04-18-2020,9022,1008,456
04-19-2020,9468,1061,474
04-20-2020,10128,1150,507
04-21-2020,10398,1207,520
04-22-2020,10850,1262,537
04-23-2020,11183,1328,560
04-24-2020,22719,1366,576
04-25-2020,22719,1366,576
04-26-2020,22719,1366,576
04-27-2020,23240,1557,663
04-28-2020,24258,1557,871
04-29-2020,24675,1557,883
04-30-2020,24934,1558,900
05-01-2020,26336,1913,1063
05-02-2020,27464,2132,1371
05-03-2020,29538,3300,1564
05-04-2020,31881,3433,1569
05-05-2020,31881,3433,1569
05-05-2020,31881,3433,1569
05-06-2020,31881,3433,1618
05-07-2020,30298,3433,1654
05-08-2020,28818,3433,1704
05-09-2020,29071,3433,1717
05-10-2020,29559,3433,2127
05-11-2020,29509,3433,2145
05-12-2020,30419,3433,2327
05-12-2020,30419,3433,2327
05-13-2020,30486,3433,2334
05-14-2020,30502,3433,2338
05-14-2020,30502,3433,2338
05-15-2020,31467,3433,2594
05-16-2020,32763,3433,2688
05-17-2020,33182,3433,2736
05-18-2020,33582,3433,2799
05-19-2020,34151,3457,2839
05-19-2020,34151,3457,2839
05-20-2020,34854,3557,2888
05-21-2020,35306,3557,2939
05-22-2020,35828,3557,3056
05-23-2020,36258,3557,3096
05-24-2020,36756,3560,3108
05-25-2020,37355,18003,3203
05-26-2020,37355,18003,3203
05-27-2020,38103,18425,3275
05-28-2020,38471,18425,3313
05-29-2020,38571,19190,3334
05-30-2020,38571,19190,3334
05-31-2020,39098,19592,3358
06-01-2020,39098,19592,3358
06-02-2020,40414,20019,3438
06-03-2020,40966,20019,3486
06-04-2020,40966,20019,3486
06-05-2020,41575,20568,3534
06-06-2020,42728,21020,3608
06-06-2020,42728,21020,3608
06-07-2020,43120,21020,3621
06-08-2020,43378,21020,3642
06-09-2020,43917,21020,3690
06-10-2020,44440,21862,3720
06-11-2020,44440,21862,3720
06-12-2020,45778,22679,3828
06-13-2020,46356,22865,3874
06-14-2020,46751,23064,3896
06-15-2020,47322,23349,3929
06-16-2020,47943,23684,3970
06-17-2020,48490,23881,4007
06-18-2020,49097,24123,4087
06-19-2020,49731,24446,4156
06-20-2020,49731,24446,4156
06-21-2020,50640,24991,4223
06-22-2020,50640,24991,4223
06-23-2020,51643,24991,4274
06-24-2020,51643,24991,4274
06-25-2020,53156,26097,4343
06-26-2020,53856,26493,4406
06-27-2020,54574,26920,4424
06-28-2020,55255,27058,4429
06-29-2020,55665,27430,4502
06-30-2020,56432,27594,4527
07-01-2020,58257,27887,4576
07-02-2020,59468,28032,4639
07-03-2020,60657,28391,4700
07-04-2020,61535,28507,4769
07-05-2020,61958,28722,4781
07-06-2020,62380,28872,4821
07-07-2020,63245,29071,4873
07-08-2020,63245,29071,4873
07-09-2020,64221,29184,4900
07-10-2020,65018,29577,4939
07-11-2020,67209,30107,5031
07-12-2020,67870,30283,5047
07-13-2020,68459,30369,5063
07-14-2020,69570,30484,5130
07-15-2020,70329,30641,5158
07-16-2020,71365,31260,5207
07-17-2020,72444,31404,5250
07-18-2020,73382,31757,5282
07-18-2020,73382,31757,5282
07-18-2020,73382,31757,5282
07-19-2020,74013,31901,5313
07-20-2020,74620,31955,5318
07-21-2020,76217,32725,5366
07-22-2020,77257,33125,5418
07-23-2020,78148,33455,5439
07-24-2020,79049,34544,5468
07-25-2020,80036,34544,5507
