







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,1,0,0
03-13-2020,3,0,1
03-14-2020,3,0,1
03-15-2020,3,0,1
03-16-2020,7,0,1
03-17-2020,14,0,2
03-18-2020,14,0,2
03-19-2020,16,0,2
03-20-2020,29,0,3
03-21-2020,47,1,3
03-22-2020,73,1,3
03-23-2020,73,1,3
03-24-2020,97,1,3
03-25-2020,145,1,5
03-26-2020,196,1,5
03-27-2020,310,5,5
03-28-2020,356,5,9
03-29-2020,475,6,10
03-30-2020,548,8,13
03-31-2020,645,10,17
04-01-2020,794,13,20
04-02-2020,897,19,22
04-03-2020,1072,22,27
04-04-2020,1225,25,32
04-05-2020,1308,28,37
04-06-2020,1319,28,38
04-07-2020,1462,28,45
04-08-2020,1668,35,52
04-09-2020,1892,45,57
04-10-2020,2203,61,69
04-11-2020,2511,79,73
04-12-2020,2777,89,83
04-13-2020,3102,97,93
04-14-2020,3372,119,98
04-15-2020,3764,143,108
04-16-2020,4161,186,116
04-17-2020,4662,246,125
04-18-2020,5106,275,133
04-19-2020,5449,347,141
04-20-2020,5710,359,151
04-21-2020,6125,367,161
04-22-2020,6592,424,174
04-23-2020,7170,504,187
04-24-2020,8125,782,201
04-25-2020,8125,782,201
04-26-2020,8617,840,209
04-27-2020,9009,864,220
04-28-2020,9410,992,239
04-29-2020,9866,1103,250
04-30-2020,10406,1238,261
05-01-2020,10861,1413,272
05-02-2020,11411,1498,279
05-03-2020,11913,1548,288
05-04-2020,12331,1619,303
05-05-2020,12697,1875,316
05-05-2020,12697,1875,316
05-06-2020,13184,2097,327
05-07-2020,13691,2396,340
05-08-2020,14195,2706,361
05-09-2020,14710,2909,376
05-10-2020,15232,3060,391
05-11-2020,15648,3288,408
05-12-2020,16023,3373,425
05-12-2020,16023,3373,425
05-13-2020,16425,3716,439
05-14-2020,16847,4143,456
05-14-2020,16847,4143,456
05-15-2020,17330,4473,476
05-16-2020,17858,4906,497
05-17-2020,18291,5116,514
05-18-2020,18616,5276,535
05-19-2020,18876,5632,548
05-19-2020,18876,5632,548
05-20-2020,19230,5955,564
05-21-2020,19706,6227,579
05-22-2020,20148,6585,588
05-23-2020,20580,6929,605
05-24-2020,20986,7108,617
05-25-2020,21245,7234,623
05-26-2020,21584,7575,644
05-27-2020,21905,7995,658
05-28-2020,22382,8439,669
05-29-2020,22811,8934,679
05-30-2020,23204,9311,696
05-31-2020,23672,9538,708
06-01-2020,24562,10053,724
06-02-2020,24895,10461,733
06-03-2020,25385,10838,742
06-04-2020,25981,11468,755
06-05-2020,26542,11815,770
06-06-2020,27101,12265,785
06-06-2020,27101,12265,785
06-07-2020,27599,12513,796
06-08-2020,28077,12657,805
06-09-2020,28479,12892,818
06-10-2020,29015,13257,841
06-11-2020,29706,13642,864
06-12-2020,30415,14075,880
06-13-2020,31177,14489,890
