







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,1,0,0
03-13-2020,1,0,0
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,1,0,0
03-19-2020,1,0,0
03-20-2020,9,1,0
03-21-2020,16,1,0
03-22-2020,16,0,0
03-23-2020,18,0,0
03-24-2020,20,1,0
03-25-2020,23,1,0
03-26-2020,23,1,0
03-27-2020,25,1,1
03-28-2020,25,1,1
03-29-2020,25,1,1
03-30-2020,30,1,1
03-31-2020,34,10,1
04-01-2020,36,10,2
04-02-2020,39,17,2
04-03-2020,40,17,3
04-04-2020,41,17,3
04-05-2020,44,20,3
04-06-2020,58,23,3
04-07-2020,65,23,3
04-08-2020,70,23,3
04-09-2020,73,24,3
04-10-2020,76,25,3
04-11-2020,76,25,3
04-12-2020,76,29,3
04-13-2020,77,29,3
04-14-2020,77,32,3
04-15-2020,81,35,3
04-16-2020,81,45,5
04-17-2020,83,48,5
04-18-2020,84,49,5
04-19-2020,84,52,5
04-20-2020,84,53,6
04-21-2020,86,56,6
04-22-2020,88,56,6
04-23-2020,88,59,6
04-24-2020,90,59,6
04-25-2020,96,62,6
04-26-2020,98,62,6
04-27-2020,98,62,6
04-28-2020,99,63,6
04-29-2020,109,64,7
04-30-2020,116,65,9
05-01-2020,123,66,9
05-02-2020,123,66,9
05-03-2020,124,67,9
05-04-2020,126,74,9
05-05-2020,128,74,9
05-05-2020,128,74,9
05-06-2020,128,77,9
05-07-2020,135,85,9
05-08-2020,145,85,10
05-09-2020,153,87,10
05-10-2020,174,89,11
05-11-2020,181,89,11
05-12-2020,199,92,11
05-12-2020,199,92,11
05-13-2020,219,96,11
05-14-2020,238,96,11
05-14-2020,238,96,11
05-15-2020,263,96,11
05-16-2020,298,99,11
05-17-2020,301,104,11
05-18-2020,330,106,12
05-19-2020,338,107,12
05-19-2020,338,107,12
05-20-2020,340,110,12
05-21-2020,354,118,12
05-22-2020,363,121,12
05-23-2020,373,133,12
05-24-2020,381,141,12
05-25-2020,386,161,13
05-26-2020,391,177,13
05-27-2020,395,183,13
05-28-2020,422,197,13
05-29-2020,428,202,13
05-30-2020,433,206,13
05-31-2020,442,211,13
06-01-2020,443,215,13
06-02-2020,445,230,13
06-03-2020,452,236,13
06-04-2020,465,239,13
06-05-2020,485,240,13
06-06-2020,487,240,13
06-06-2020,487,240,13
06-07-2020,495,248,13
06-08-2020,497,251,13
06-09-2020,501,260,13
06-10-2020,522,265,13
06-11-2020,524,271,13
06-12-2020,525,279,13
06-13-2020,530,291,13
06-14-2020,530,291,13
06-15-2020,531,299,13
06-16-2020,537,344,13
06-17-2020,544,353,13
06-18-2020,547,353,13
06-19-2020,555,361,13
06-20-2020,561,366,13
06-21-2020,569,375,13
06-22-2020,569,380,13
06-23-2020,576,384,13
