







date,confirmed,cured,dead
03-25-2020,712,587,10
03-26-2020,712,597,10
03-27-2020,712,597,10
03-28-2020,712,597,10
03-29-2020,712,603,10
03-30-2020,712,603,10
03-31-2020,712,603,10
04-01-2020,712,603,11
04-02-2020,712,619,11
04-03-2020,712,619,11
04-04-2020,712,619,11
04-05-2020,712,619,11
04-06-2020,712,619,11
04-07-2020,712,619,11
04-08-2020,712,619,11
04-09-2020,712,619,11
04-10-2020,712,619,11
04-11-2020,712,619,11
04-12-2020,712,619,11
04-13-2020,712,619,11
04-14-2020,712,639,12
04-15-2020,712,639,12
04-16-2020,712,644,12
04-17-2020,712,644,13
04-18-2020,712,644,13
04-19-2020,712,644,13
04-20-2020,712,644,13
04-21-2020,712,644,13
04-22-2020,712,644,13
04-23-2020,712,645,13
04-24-2020,712,645,13
04-25-2020,712,645,13
04-26-2020,712,645,13
04-27-2020,712,645,13
04-28-2020,712,645,13
04-29-2020,712,645,13
04-30-2020,712,645,13
05-01-2020,712,645,13
05-02-2020,712,645,13
05-03-2020,712,645,13
05-04-2020,712,645,13
05-05-2020,712,645,13
05-05-2020,712,645,13
05-06-2020,712,645,13
05-07-2020,712,645,13
05-08-2020,712,645,13
05-09-2020,712,645,13
05-10-2020,712,651,13
05-11-2020,712,651,13
05-12-2020,712,651,13
05-12-2020,712,651,13
05-13-2020,712,651,13
05-14-2020,712,651,13
05-14-2020,712,651,13
05-15-2020,712,651,13
05-16-2020,712,651,13
05-17-2020,712,651,13
05-18-2020,712,651,13
05-19-2020,712,651,13
05-19-2020,712,651,13
05-20-2020,712,651,13
05-21-2020,712,651,13
05-22-2020,712,651,13
05-23-2020,712,651,13
05-24-2020,712,651,13
05-25-2020,712,651,13
05-26-2020,712,651,13
05-27-2020,712,651,13
05-28-2020,712,651,13
05-29-2020,712,651,13
05-30-2020,712,651,13
05-31-2020,712,651,13
06-01-2020,712,651,13
06-02-2020,712,651,13
06-03-2020,712,651,13
06-04-2020,712,651,13
06-05-2020,712,651,13
06-06-2020,712,651,13
06-06-2020,712,651,13
06-07-2020,712,651,13
06-08-2020,712,651,13
06-09-2020,712,651,13
06-10-2020,712,651,13
06-11-2020,712,651,13
06-12-2020,712,651,13
06-13-2020,712,651,13
06-14-2020,712,651,13
06-15-2020,712,651,13
06-16-2020,712,651,13
06-17-2020,712,651,13
06-18-2020,712,651,13
06-19-2020,712,651,13
06-20-2020,712,651,13
06-21-2020,712,651,13
06-22-2020,712,651,13
06-23-2020,712,651,13
06-24-2020,712,651,13
06-25-2020,712,651,13
06-26-2020,712,651,13
06-27-2020,712,651,13
06-28-2020,712,651,13
06-29-2020,712,651,13
06-30-2020,712,651,13
07-01-2020,712,651,13
07-02-2020,712,651,13
07-03-2020,712,651,13
07-04-2020,712,651,13
07-05-2020,712,651,13
07-06-2020,712,651,13
07-07-2020,712,651,13
07-08-2020,712,651,13
07-09-2020,712,651,13
07-10-2020,712,651,13
07-11-2020,712,651,13
07-12-2020,712,651,13
07-13-2020,712,651,13
07-14-2020,712,651,13
07-15-2020,712,651,13
07-16-2020,712,651,13
07-17-2020,712,651,13
07-18-2020,712,651,13
07-18-2020,712,651,13
07-18-2020,712,651,13
07-19-2020,712,651,13
07-20-2020,712,651,13
07-21-2020,712,651,13
07-22-2020,712,651,13
07-23-2020,712,651,13
07-24-2020,712,651,13
07-25-2020,712,651,13
07-26-2020,712,651,13
07-27-2020,712,651,13
07-28-2020,712,651,13
07-28-2020,712,651,13
07-29-2020,712,651,13
07-30-2020,712,651,13
07-31-2020,712,651,13
08-01-2020,712,651,13
08-02-2020,712,651,13
08-03-2020,712,651,13
08-04-2020,712,651,13
08-05-2020,712,651,13
08-06-2020,712,651,13
08-07-2020,712,651,13
08-08-2020,712,651,13
08-09-2020,712,651,13
08-10-2020,712,651,13
08-11-2020,712,651,13
08-12-2020,712,651,13
08-13-2020,712,651,13
08-14-2020,712,651,13
08-15-2020,712,651,13
08-16-2020,712,651,13
08-17-2020,712,651,13
08-18-2020,712,651,13
08-19-2020,712,651,13
08-20-2020,712,651,13
08-21-2020,712,651,13
08-22-2020,712,651,13
08-23-2020,712,651,13
08-24-2020,712,651,13
08-25-2020,712,651,13
08-26-2020,712,651,13
08-27-2020,712,651,13
08-28-2020,712,651,13
08-29-2020,712,651,13
08-30-2020,712,651,13
08-31-2020,712,651,13
09-01-2020,712,651,13
09-02-2020,712,651,13
09-03-2020,712,651,13
09-04-2020,712,651,13
09-05-2020,712,651,13
09-06-2020,712,651,13
09-07-2020,712,651,13
09-08-2020,712,651,13
09-09-2020,712,651,13
09-10-2020,712,651,13
09-11-2020,712,651,13
09-12-2020,712,651,13
09-13-2020,712,651,13
09-14-2020,712,651,13
09-15-2020,712,651,13
09-16-2020,712,651,13
09-17-2020,712,651,13
09-18-2020,712,651,13
09-19-2020,712,651,13
09-20-2020,712,651,13
09-21-2020,712,651,13
09-22-2020,712,651,13
09-23-2020,712,651,13
09-24-2020,712,651,13
09-25-2020,712,651,13
09-26-2020,712,651,13
09-27-2020,712,651,13
09-28-2020,712,651,13
09-29-2020,712,651,13
09-30-2020,712,651,13
10-01-2020,712,651,13
10-02-2020,712,651,13
10-03-2020,712,651,13
10-04-2020,712,651,13
10-05-2020,712,651,13
10-06-2020,712,651,13
10-07-2020,712,651,13
10-08-2020,712,651,13
10-09-2020,712,651,13
10-10-2020,712,659,13
10-11-2020,712,659,13
10-12-2020,712,659,13
10-13-2020,712,659,13
10-14-2020,712,659,13
10-15-2020,712,659,13
10-16-2020,712,659,13
10-17-2020,712,659,13
10-18-2020,712,659,13
10-19-2020,712,659,13
10-20-2020,712,659,13
10-21-2020,712,659,13
10-22-2020,712,659,13
10-23-2020,712,659,13
10-24-2020,712,659,13
10-25-2020,712,659,13
10-26-2020,712,659,13
10-27-2020,712,659,13
10-28-2020,712,659,13
10-29-2020,712,659,13
10-30-2020,712,659,13
10-31-2020,712,659,13
11-01-2020,712,659,13
11-02-2020,712,659,13
11-03-2020,712,659,13
11-04-2020,712,659,13
11-05-2020,712,659,13
11-06-2020,712,659,13
11-07-2020,712,659,13
11-08-2020,712,659,13
11-09-2020,712,659,13
11-10-2020,712,659,13
11-11-2020,712,659,13
11-12-2020,712,659,13
11-13-2020,712,659,13
11-14-2020,712,659,13
11-15-2020,712,659,13
11-16-2020,712,659,13
11-17-2020,712,659,13
11-18-2020,712,659,13
11-19-2020,712,659,13
11-20-2020,712,659,13
11-21-2020,712,659,13
11-22-2020,712,659,13
11-23-2020,712,659,13
11-24-2020,712,659,13
11-25-2020,712,659,13
11-26-2020,712,659,13
11-27-2020,712,659,13
11-28-2020,712,659,13
11-29-2020,712,659,13
11-30-2020,712,659,13
12-01-2020,712,659,13
12-02-2020,712,659,13
12-03-2020,712,699,13
12-04-2020,712,699,13
12-05-2020,712,699,13
12-06-2020,712,699,13
12-07-2020,712,699,13
12-08-2020,712,699,13
12-09-2020,712,699,13
12-10-2020,712,699,13
12-11-2020,712,699,13
12-12-2020,712,699,13
12-13-2020,712,699,13
12-14-2020,712,699,13
12-15-2020,712,699,13
12-16-2020,712,699,13
12-17-2020,712,699,13
12-18-2020,712,699,13
12-19-2020,712,699,13
12-20-2020,712,699,13
12-21-2020,712,699,13
12-22-2020,712,699,13
12-23-2020,712,699,13
12-24-2020,712,699,13
12-25-2020,712,699,13
12-26-2020,712,699,13
12-27-2020,712,699,13
12-28-2020,712,699,13
12-29-2020,712,699,13
12-30-2020,712,699,13
12-31-2020,712,699,13
01-01-2021,712,699,13
01-02-2021,712,699,13
01-03-2021,712,699,13
01-04-2021,712,699,13
01-05-2021,712,699,13
01-06-2021,712,699,13
01-07-2021,712,699,13
01-08-2021,712,699,13
01-09-2021,712,699,13
01-10-2021,712,699,13
01-11-2021,712,699,13
01-12-2021,712,699,13
01-13-2021,712,699,13
01-14-2021,712,699,13
01-15-2021,712,699,13
01-16-2021,712,699,13
01-17-2021,712,699,13
01-18-2021,712,699,13
01-19-2021,712,699,13
01-20-2021,712,699,13
01-21-2021,712,699,13
01-22-2021,712,699,13
01-23-2021,712,699,13
01-24-2021,712,699,13
01-25-2021,712,699,13
01-26-2021,712,699,13
01-27-2021,712,699,13
01-28-2021,712,699,13
01-29-2021,712,699,13
01-30-2021,712,699,13
01-31-2021,712,699,13
02-01-2021,712,699,13
02-02-2021,712,699,13
02-03-2021,712,699,13
02-04-2021,712,699,13
02-05-2021,712,699,13
02-06-2021,712,699,13
02-07-2021,712,699,13
02-08-2021,712,699,13
02-09-2021,712,699,13
02-10-2021,712,699,13
02-11-2021,712,699,13
02-12-2021,712,699,13
02-13-2021,712,699,13
02-14-2021,712,699,13
02-15-2021,712,699,13
02-16-2021,712,699,13
02-17-2021,712,699,13
02-18-2021,712,699,13
02-19-2021,712,699,13
02-20-2021,712,699,13
02-21-2021,712,699,13
02-22-2021,712,699,13
02-23-2021,712,699,13
02-24-2021,712,699,13
02-25-2021,712,699,13
02-26-2021,712,699,13
02-27-2021,712,699,13
02-28-2021,712,699,13
03-01-2021,712,699,13
03-02-2021,712,699,13
03-03-2021,712,699,13
03-04-2021,712,699,13
03-05-2021,712,699,13
03-06-2021,712,699,13
03-07-2021,712,699,13
