







date,confirmed,cured,dead
03-18-2020,1,0,0
03-19-2020,1,0,0
03-20-2020,1,0,0
03-21-2020,1,0,0
03-22-2020,1,0,0
03-23-2020,3,0,0
03-24-2020,3,0,0
03-25-2020,11,0,0
03-26-2020,11,0,0
03-27-2020,12,0,0
03-28-2020,14,0,0
03-29-2020,18,0,0
03-30-2020,18,0,0
03-31-2020,30,0,0
04-01-2020,33,0,0
04-02-2020,40,0,0
04-03-2020,49,8,0
04-04-2020,50,8,0
04-05-2020,59,9,0
04-06-2020,90,9,0
04-07-2020,90,9,0
04-08-2020,135,25,0
04-09-2020,135,25,0
04-10-2020,150,36,1
04-11-2020,187,36,2
04-12-2020,214,36,2
04-13-2020,298,41,2
04-14-2020,363,53,2
04-15-2020,435,71,2
04-16-2020,591,73,2
04-17-2020,732,76,2
04-18-2020,732,76,2
04-19-2020,846,102,2
04-20-2020,846,102,2
04-21-2020,945,112,2
04-22-2020,974,183,2
04-23-2020,986,252,2
04-24-2020,999,330,2
04-25-2020,1008,373,2
04-26-2020,1023,411,2
04-27-2020,1035,477,2
04-28-2020,1072,498,2
04-29-2020,1077,599,2
04-30-2020,1089,642,2
05-01-2020,1097,672,2
05-02-2020,1112,686,2
05-03-2020,1112,686,2
05-04-2020,1116,713,2
05-05-2020,1120,745,2
05-05-2020,1120,745,2
05-06-2020,1124,755,3
05-07-2020,1133,799,3
05-08-2020,1135,824,3
05-09-2020,1189,834,3
05-10-2020,1210,847,3
05-11-2020,1227,872,3
05-12-2020,1256,886,3
05-12-2020,1256,886,3
05-13-2020,1268,900,3
05-14-2020,1284,905,3
05-14-2020,1284,905,3
05-15-2020,1309,935,4
05-16-2020,1331,950,4
05-17-2020,1401,972,4
05-18-2020,1518,1018,7
05-19-2020,1618,1033,7
05-19-2020,1618,1033,7
05-20-2020,1828,1052,9
05-21-2020,2047,1055,10
05-22-2020,2270,1064,10
05-23-2020,2270,1064,10
05-24-2020,2270,1064,10
05-25-2020,2468,1079,14
05-26-2020,2468,1079,14
05-27-2020,2697,1185,18
05-28-2020,2914,1241,20
05-29-2020,2914,1241,20
05-30-2020,3194,1286,22
05-31-2020,3354,1504,24
06-01-2020,3569,1521,24
06-02-2020,3779,1607,25
06-03-2020,3935,1636,26
06-04-2020,4054,1685,26
06-05-2020,4123,1707,26
06-06-2020,4169,1815,26
06-06-2020,4169,1815,26
06-07-2020,4207,1877,28
06-08-2020,4278,2013,31
06-09-2020,4331,2139,34
06-10-2020,4373,2260,34
06-11-2020,4398,2519,37
06-12-2020,4441,2730,38
06-13-2020,4449,2823,41
06-14-2020,4465,2950,43
06-15-2020,4501,3183,43
06-16-2020,4539,3324,43
06-17-2020,4545,3411,43
06-18-2020,4557,3527,43
06-19-2020,4565,3565,45
06-20-2020,4565,3565,45
06-21-2020,4582,3859,45
06-22-2020,4599,3952,48
06-23-2020,4617,3989,49
06-24-2020,4630,4182,52
06-25-2020,4635,4269,52
06-26-2020,4643,4348,52
06-27-2020,4643,4348,52
06-28-2020,4643,4348,52
06-29-2020,4656,4433,53
06-30-2020,4682,4524,54
07-01-2020,4704,4550,55
07-02-2020,4715,4564,55
07-03-2020,4736,4580,55
07-04-2020,4736,4580,55
07-05-2020,4792,4593,55
07-06-2020,4822,4610,55
07-07-2020,4878,4621,55
07-08-2020,4889,4644,55
07-09-2020,4955,4671,56
07-10-2020,4968,4689,56
07-11-2020,4968,4689,56
07-12-2020,4972,4712,56
07-13-2020,4977,4729,56
07-14-2020,4979,4743,56
07-15-2020,4985,4765,56
07-16-2020,4993,4796,56
07-17-2020,5003,4809,56
07-18-2020,5003,4809,56
07-18-2020,5003,4809,56
07-18-2020,5003,4809,56
07-19-2020,5011,4838,56
07-20-2020,5020,4868,56
07-21-2020,5027,4884,56
07-22-2020,5030,4904,58
07-23-2020,5031,4927,58
07-24-2020,5039,4949,58
07-25-2020,5039,4949,58
07-26-2020,5050,4966,58
07-27-2020,5059,4977,58
07-28-2020,5068,4992,58
07-28-2020,5068,4992,58
07-29-2020,5081,4999,58
07-30-2020,5081,4999,58
07-31-2020,5084,4999,58
08-01-2020,5084,4999,58
08-02-2020,5161,5019,59
08-03-2020,5240,5028,59
08-04-2020,5248,5044,59
08-05-2020,5330,5057,59
08-06-2020,5330,5057,59
08-07-2020,5338,5083,59
08-08-2020,5338,5083,59
08-09-2020,5344,5106,59
08-10-2020,5347,5120,59
08-11-2020,5348,5133,59
08-12-2020,5358,5150,59
08-13-2020,5358,5167,59
08-14-2020,5367,5181,59
08-15-2020,5367,5181,59
08-16-2020,5369,5202,59
08-17-2020,5372,5211,59
08-18-2020,5374,5216,59
08-19-2020,5374,5216,59
08-20-2020,5374,5216,59
08-21-2020,5382,5233,60
08-22-2020,5382,5233,60
08-23-2020,5382,5254,60
08-24-2020,5383,5273,60
08-25-2020,5383,5282,60
08-26-2020,5383,5297,60
08-27-2020,5383,5307,60
08-28-2020,5383,5307,60
08-29-2020,5385,5314,60
08-30-2020,5385,5319,60
08-31-2020,5387,5323,60
09-01-2020,5387,5327,60
09-02-2020,5387,5327,60
09-03-2020,5387,5327,60
09-04-2020,5387,5327,60
09-05-2020,5387,5327,60
09-06-2020,5388,5327,61
09-07-2020,5388,5327,61
09-08-2020,5388,5327,61
09-09-2020,5391,5327,61
09-10-2020,5394,5327,61
09-11-2020,5394,5327,61
09-12-2020,5394,5327,61
09-13-2020,5395,5330,61
09-14-2020,5396,5331,61
09-15-2020,5396,5331,61
09-16-2020,5399,5333,61
09-17-2020,5399,5333,61
09-18-2020,5403,5333,61
09-19-2020,5403,5333,61
09-20-2020,5403,5335,61
09-21-2020,5404,5336,61
09-22-2020,5407,5338,61
09-23-2020,5407,5338,61
09-24-2020,5407,5339,61
09-25-2020,5409,5340,61
09-26-2020,5409,5340,61
09-27-2020,5409,5340,61
09-28-2020,5410,5340,61
09-29-2020,5416,5344,61
09-30-2020,5416,5344,61
10-01-2020,5417,5346,61
10-02-2020,5417,5346,61
10-03-2020,5418,5347,61
10-04-2020,5419,5349,61
10-05-2020,5421,5352,61
10-06-2020,5423,5353,61
10-07-2020,5423,5353,61
10-08-2020,5423,5355,61
10-09-2020,5423,5355,61
10-10-2020,5423,5355,61
10-11-2020,5423,5355,61
10-12-2020,5426,5360,61
10-13-2020,5428,5362,61
10-14-2020,5440,5366,61
10-15-2020,5443,5368,61
10-16-2020,5449,5372,61
10-17-2020,5452,5373,61
10-18-2020,5459,5375,61
10-19-2020,5469,5379,61
10-20-2020,5499,5384,61
10-21-2020,5512,5387,61
10-22-2020,5522,5389,61
10-23-2020,5528,5393,61
10-24-2020,5530,5398,61
10-25-2020,5536,5402,61
10-26-2020,5541,5409,61
10-27-2020,5544,5421,61
10-28-2020,5555,5427,61
10-29-2020,5558,5431,61
10-30-2020,5559,5437,61
10-31-2020,5561,5441,61
11-01-2020,5563,5448,61
