







date,confirmed,cured,dead
03-11-2020,6,0,0
03-12-2020,6,0,0
03-13-2020,14,0,0
03-14-2020,26,0,0
03-15-2020,26,0,0
03-16-2020,33,0,0
03-17-2020,46,0,0
03-18-2020,49,0,0
03-19-2020,67,0,0
03-20-2020,67,0,0
03-21-2020,84,0,0
03-22-2020,95,3,1
03-23-2020,116,3,1
03-24-2020,124,3,3
03-25-2020,132,3,3
03-26-2020,146,4,3
03-27-2020,162,15,5
03-28-2020,179,15,5
03-29-2020,214,15,5
03-30-2020,230,22,7
03-31-2020,262,23,8
04-01-2020,320,28,9
04-02-2020,356,28,10
04-03-2020,396,28,11
04-04-2020,426,33,11
04-05-2020,446,37,9
04-06-2020,465,45,9
04-07-2020,494,47,9
04-08-2020,526,52,9
04-09-2020,564,53,10
04-10-2020,595,58,10
04-11-2020,616,61,10
04-12-2020,633,65,11
04-13-2020,662,65,12
04-14-2020,695,65,12
04-15-2020,715,65,12
04-16-2020,735,77,12
04-17-2020,750,77,12
04-18-2020,761,79,12
04-19-2020,767,81,12
04-20-2020,772,81,12
04-21-2020,784,98,12
04-22-2020,790,98,13
04-23-2020,795,98,13
04-24-2020,804,98,14
04-25-2020,810,148,14
04-26-2020,817,148,14
04-27-2020,822,148,15
04-28-2020,837,148,15
04-29-2020,843,148,15
04-30-2020,850,296,15
05-01-2020,857,296,15
05-02-2020,864,296,15
05-03-2020,872,296,15
05-04-2020,874,296,15
05-05-2020,878,296,15
05-05-2020,878,296,15
05-06-2020,883,296,15
05-07-2020,889,400,15
05-08-2020,891,400,15
05-09-2020,892,401,15
05-10-2020,898,401,16
05-11-2020,901,401,16
05-12-2020,903,449,16
05-12-2020,903,449,16
05-13-2020,905,449,17
05-14-2020,907,481,17
05-14-2020,907,481,17
05-15-2020,910,481,17
05-16-2020,914,515,17
05-17-2020,916,515,17
05-18-2020,917,515,17
05-19-2020,918,515,17
05-19-2020,918,515,17
05-20-2020,922,516,17
05-21-2020,923,561,17
05-22-2020,927,561,17
05-23-2020,927,594,17
05-24-2020,935,594,17
05-25-2020,937,594,17
05-26-2020,939,594,17
05-27-2020,939,594,17
05-28-2020,941,784,17
05-29-2020,942,784,17
05-30-2020,944,790,17
05-31-2020,944,790,17
06-01-2020,949,790,17
06-02-2020,952,790,17
06-03-2020,958,790,17
06-04-2020,958,790,17
06-05-2020,960,807,17
06-06-2020,960,807,18
06-06-2020,960,807,18
06-07-2020,964,807,18
06-08-2020,970,807,18
06-09-2020,972,807,18
06-10-2020,974,807,18
06-11-2020,975,807,18
06-12-2020,980,807,18
06-13-2020,980,807,18
06-14-2020,983,807,18
06-15-2020,985,807,18
06-16-2020,985,816,18
06-17-2020,985,816,18
06-18-2020,985,818,19
06-19-2020,985,818,19
06-20-2020,985,824,19
06-21-2020,986,824,19
06-22-2020,988,824,19
06-23-2020,990,824,19
06-24-2020,991,824,19
06-25-2020,992,824,19
06-26-2020,992,824,19
06-27-2020,994,824,19
06-28-2020,994,833,19
06-29-2020,996,833,19
06-30-2020,998,833,19
07-01-2020,999,833,19
07-02-2020,999,833,19
07-03-2020,999,839,19
07-04-2020,1002,839,19
07-05-2020,1003,839,19
07-06-2020,1004,839,19
07-07-2020,1005,839,19
07-08-2020,1008,839,19
07-09-2020,1010,839,19
07-10-2020,1013,839,19
07-11-2020,1014,839,19
07-12-2020,1021,839,19
07-13-2020,1022,839,19
07-14-2020,1023,839,19
07-15-2020,1025,839,19
07-16-2020,1031,845,19
07-17-2020,1033,845,19
07-18-2020,1037,845,19
07-18-2020,1037,845,19
07-18-2020,1037,845,19
07-19-2020,1038,845,19
07-20-2020,1038,847,19
07-21-2020,1040,847,19
07-22-2020,1040,847,19
07-23-2020,1045,847,19
07-24-2020,1047,847,19
07-25-2020,1053,852,19
07-26-2020,1057,852,19
07-27-2020,1060,852,19
07-28-2020,1067,852,19
07-28-2020,1067,852,19
07-29-2020,1080,852,19
07-30-2020,1090,852,19
07-31-2020,1114,852,19
08-01-2020,1124,852,19
08-02-2020,1150,856,19
08-03-2020,1155,856,19
08-04-2020,1180,856,19
08-05-2020,1195,856,19
08-06-2020,1208,856,19
08-07-2020,1222,856,19
08-08-2020,1233,856,19
08-09-2020,1242,870,19
08-10-2020,1252,870,19
08-11-2020,1277,870,20
08-12-2020,1291,870,20
08-13-2020,1305,870,20
08-14-2020,1318,870,20
08-15-2020,1332,870,20
08-16-2020,1339,870,20
08-17-2020,1351,870,20
08-18-2020,1359,878,20
08-19-2020,1385,878,20
08-20-2020,1395,878,20
08-21-2020,1406,878,20
08-22-2020,1417,878,20
08-23-2020,1421,878,20
08-24-2020,1451,878,20
08-25-2020,1474,935,20
08-26-2020,1484,935,20
08-27-2020,1467,935,20
08-28-2020,1481,935,20
08-29-2020,1483,935,20
08-30-2020,1487,935,20
08-31-2020,1488,1139,20
09-01-2020,1490,1139,21
09-02-2020,1495,1139,21
09-03-2020,1498,1139,21
09-04-2020,1502,1139,21
09-05-2020,1507,1237,21
09-06-2020,1509,1237,21
09-07-2020,1510,1237,22
09-08-2020,1511,1237,22
09-09-2020,1514,1237,22
09-10-2020,1517,1237,22
09-11-2020,1520,1237,22
09-12-2020,1523,1281,22
09-13-2020,1526,1281,22
09-14-2020,1534,1282,22
09-15-2020,1540,1282,22
09-16-2020,1548,1282,22
09-17-2020,1558,1282,22
09-18-2020,1565,1282,22
09-19-2020,1590,1282,22
09-20-2020,1600,1282,22
09-21-2020,1603,1369,22
09-22-2020,1618,1369,22
09-23-2020,1654,1369,22
09-24-2020,1663,1369,22
09-25-2020,1671,1369,22
09-26-2020,1684,1369,22
09-27-2020,1696,1369,22
09-28-2020,1713,1369,22
09-29-2020,1743,1369,22
09-30-2020,1755,1369,22
10-01-2020,1772,1369,22
10-02-2020,1789,1369,22
10-03-2020,1811,1369,22
10-04-2020,1824,1369,22
10-05-2020,1847,1369,22
10-06-2020,1876,1369,23
10-07-2020,1897,1369,24
10-08-2020,1918,1369,24
10-09-2020,1951,1369,25
10-10-2020,1986,1444,25
10-11-2020,2006,1444,25
10-12-2020,2047,1444,25
10-13-2020,2130,1444,25
10-14-2020,2181,1444,25
10-15-2020,2285,1444,25
10-16-2020,2379,1444,25
10-17-2020,2581,1444,25
10-18-2020,2644,1444,25
10-19-2020,2687,1444,25
10-20-2020,2839,1444,25
10-21-2020,2966,1444,25
10-22-2020,3154,1444,25
10-23-2020,3314,1444,25
10-24-2020,3444,1882,25
10-25-2020,3545,1882,25
10-26-2020,3636,1882,25
10-27-2020,3817,1882,25
10-28-2020,3930,1882,25
10-29-2020,4051,1882,25
10-30-2020,4217,1882,25
10-31-2020,4366,1882,26
11-01-2020,4563,1882,26
11-02-2020,4760,1882,27
11-03-2020,4934,1882,27
11-04-2020,5100,1882,27
11-05-2020,5333,1882,27
11-06-2020,5557,1882,27
11-07-2020,5871,1882,35
11-08-2020,5987,1882,28
11-09-2020,6098,1882,28
11-10-2020,6296,1882,29
11-11-2020,6461,1882,33
11-12-2020,6646,1882,34
11-13-2020,6853,2021,38
11-14-2020,7051,2021,39
11-15-2020,7178,2021,39
11-16-2020,7285,2021,40
11-17-2020,7513,2021,40
11-18-2020,7711,2021,41
11-19-2020,7979,2021,41
11-20-2020,8211,2055,43
11-21-2020,8456,2055,43
11-22-2020,8643,2055,44
11-23-2020,8947,2055,44
11-24-2020,9199,2055,46
11-25-2020,9453,2055,47
11-26-2020,9673,2055,48
11-27-2020,9983,2057,48
11-28-2020,10231,2057,48
11-29-2020,10383,2057,48
11-30-2020,10565,2057,49
12-01-2020,10883,2057,49
12-02-2020,11175,2057,52
12-03-2020,11523,2057,54
12-04-2020,11812,2057,57
12-05-2020,12181,2057,57
12-06-2020,12451,2057,61
12-07-2020,12867,2057,63
12-08-2020,13286,2057,68
12-09-2020,13286,2057,68
12-10-2020,13649,2057,70
12-11-2020,13649,2057,70
12-12-2020,14476,2057,75
12-13-2020,15101,2057,78
12-14-2020,15450,2057,82
12-15-2020,15789,2057,84
12-16-2020,16190,2057,85
12-17-2020,16190,2057,85
12-18-2020,16647,2057,85
12-19-2020,17476,2057,89
12-20-2020,17688,2057,91
12-21-2020,18004,2057,96
12-22-2020,18004,2057,96
