







date,confirmed,cured,dead
03-20-2020,1,0,0
03-21-2020,2,0,0
03-22-2020,2,0,0
03-23-2020,3,0,0
03-24-2020,3,0,0
03-25-2020,3,0,0
03-26-2020,4,0,0
03-27-2020,4,0,0
03-28-2020,5,0,0
03-29-2020,7,0,2
03-30-2020,7,0,2
03-31-2020,7,1,2
04-01-2020,8,1,2
04-02-2020,8,1,2
04-03-2020,8,1,2
04-04-2020,10,2,2
04-05-2020,14,2,2
04-06-2020,16,2,2
04-07-2020,17,2,2
04-08-2020,19,2,2
04-09-2020,19,2,2
04-10-2020,19,2,2
04-11-2020,19,4,2
04-12-2020,19,4,2
04-13-2020,19,4,2
04-14-2020,19,5,2
04-15-2020,19,5,2
04-16-2020,19,5,2
04-17-2020,19,5,2
04-18-2020,24,6,2
04-19-2020,24,6,2
04-20-2020,24,6,2
04-21-2020,24,6,2
04-22-2020,25,6,2
04-23-2020,25,6,2
04-24-2020,25,6,2
04-25-2020,25,6,2
04-26-2020,26,6,2
04-27-2020,27,6,2
04-28-2020,27,6,2
04-29-2020,27,7,2
04-30-2020,27,7,2
05-01-2020,30,11,2
05-02-2020,35,11,2
05-03-2020,35,11,2
05-04-2020,35,11,2
05-05-2020,36,11,2
05-05-2020,36,11,2
05-06-2020,36,11,2
05-07-2020,36,11,2
05-08-2020,43,11,2
05-09-2020,43,13,2
05-10-2020,45,13,2
05-11-2020,45,13,2
05-12-2020,45,13,2
05-12-2020,45,13,2
05-13-2020,45,14,2
05-14-2020,48,14,2
05-14-2020,48,14,2
05-15-2020,48,17,2
05-16-2020,48,17,2
05-17-2020,48,17,2
05-18-2020,50,17,3
05-19-2020,52,17,3
05-19-2020,52,17,3
05-20-2020,52,17,3
05-21-2020,58,17,3
05-22-2020,60,17,3
05-23-2020,61,18,4
05-24-2020,69,18,4
05-25-2020,70,18,4
05-26-2020,70,18,4
05-27-2020,71,18,4
05-28-2020,74,18,4
05-29-2020,81,18,4
05-30-2020,84,18,4
05-31-2020,86,18,4
06-01-2020,86,18,4
06-02-2020,86,18,4
06-03-2020,86,18,4
06-04-2020,86,18,4
06-05-2020,86,21,4
06-06-2020,88,24,4
06-06-2020,88,24,4
06-07-2020,91,24,4
06-08-2020,92,38,4
06-09-2020,96,38,4
06-10-2020,113,40,4
06-11-2020,118,41,5
06-12-2020,130,42,5
06-13-2020,138,61,6
06-14-2020,140,61,6
06-15-2020,142,64,6
06-16-2020,148,64,6
06-17-2020,155,64,7
06-18-2020,166,64,8
06-19-2020,172,66,8
06-20-2020,176,66,9
06-21-2020,183,77,9
06-22-2020,186,77,10
06-23-2020,189,77,10
06-24-2020,197,77,10
06-25-2020,212,81,10
06-26-2020,212,81,10
06-27-2020,259,81,10
06-28-2020,267,81,11
06-29-2020,276,93,11
06-30-2020,284,93,13
07-01-2020,291,97,15
07-02-2020,315,97,17
07-03-2020,328,107,18
07-04-2020,346,108,19
07-05-2020,346,108,19
