







date,confirmed,cured,dead
03-11-2020,2,1,0
03-12-2020,2,1,0
03-13-2020,6,1,0
03-14-2020,10,1,0
03-15-2020,18,1,0
03-16-2020,28,1,0
03-17-2020,44,1,0
03-18-2020,51,1,0
03-19-2020,60,3,0
03-20-2020,73,3,0
03-21-2020,77,1,0
03-22-2020,82,3,0
03-23-2020,97,2,0
03-24-2020,102,2,0
03-25-2020,102,3,0
03-26-2020,106,7,0
03-27-2020,106,7,0
03-28-2020,113,9,1
03-29-2020,117,11,1
03-30-2020,122,15,2
03-31-2020,143,17,2
04-01-2020,146,21,3
04-02-2020,151,21,4
04-03-2020,159,24,4
04-04-2020,166,27,5
04-05-2020,176,33,5
04-06-2020,178,38,5
04-07-2020,185,42,6
04-08-2020,189,44,7
04-09-2020,190,49,7
04-10-2020,190,54,7
04-11-2020,198,54,7
04-12-2020,210,56,7
04-13-2020,217,56,7
04-14-2020,233,61,7
04-15-2020,238,63,7
04-16-2020,238,68,7
04-17-2020,244,77,7
04-18-2020,254,86,7
04-19-2020,271,96,7
04-20-2020,304,98,7
04-21-2020,310,102,7
04-22-2020,330,105,7
04-23-2020,368,107,7
04-24-2020,420,109,7
04-25-2020,460,118,7
04-26-2020,523,120,7
04-27-2020,588,126,7
04-28-2020,619,134,7
04-29-2020,649,136,7
04-30-2020,663,154,7
05-01-2020,690,162,7
05-02-2020,705,172,7
05-03-2020,718,184,7
05-04-2020,751,194,8
05-05-2020,771,213,9
05-05-2020,771,213,9
05-06-2020,797,215,9
05-07-2020,824,232,9
05-08-2020,835,240,9
05-09-2020,847,260,9
05-10-2020,863,321,9
05-11-2020,869,343,9
05-12-2020,889,366,9
05-12-2020,889,366,9
05-13-2020,915,382,9
05-14-2020,925,445,9
05-14-2020,925,445,9
05-15-2020,935,477,9
05-16-2020,960,520,9
05-17-2020,981,538,9
05-18-2020,992,559,9
05-19-2020,1027,569,9
05-19-2020,1027,569,9
05-20-2020,1028,584,9
05-21-2020,1055,604,9
05-22-2020,1068,620,9
05-23-2020,1089,660,9
05-24-2020,1141,674,9
05-25-2020,1182,695,10
05-26-2020,1319,712,10
05-27-2020,1469,732,10
05-28-2020,1530,745,10
05-29-2020,1558,754,10
05-30-2020,1620,781,10
05-31-2020,1633,801,10
06-01-2020,1643,811,11
06-02-2020,1683,823,11
06-03-2020,1749,836,11
06-04-2020,1797,839,11
06-05-2020,1801,858,11
06-06-2020,1814,891,11
06-06-2020,1814,891,11
06-07-2020,1835,941,11
06-08-2020,1857,990,11
06-09-2020,1859,1057,11
06-10-2020,1869,1122,11
06-11-2020,1877,1150,11
06-12-2020,1880,1196,11
06-13-2020,1884,1252,11
06-14-2020,1889,1287,11
06-15-2020,1905,1342,11
06-16-2020,1915,1371,11
06-17-2020,1924,1397,11
06-18-2020,1947,1421,11
06-19-2020,1950,1446,11
06-20-2020,1950,1472,11
06-21-2020,1950,1498,11
06-22-2020,1951,1526,11
06-23-2020,1991,1548,11
06-24-2020,2001,1562,11
06-25-2020,2010,1602,11
06-26-2020,2014,1619,11
06-27-2020,2033,1639,11
06-28-2020,2037,1661,11
06-29-2020,2039,1678,11
06-30-2020,2047,1711,11
07-01-2020,2054,1748,11
07-02-2020,2066,1827,11
07-03-2020,2069,1863,11
07-04-2020,2074,1885,11
07-05-2020,2076,1903,11
07-06-2020,2077,1917,11
07-07-2020,2081,1955,11
07-08-2020,2094,1967,11
07-09-2020,2154,1979,11
07-10-2020,2454,1980,11
07-11-2020,2511,1980,11
07-12-2020,2617,1981,11
07-13-2020,2646,1981,11
07-14-2020,2665,1988,11
07-15-2020,2671,2001,11
07-16-2020,2687,2007,11
07-17-2020,2697,2012,11
07-18-2020,2703,2023,11
07-18-2020,2703,2023,11
07-18-2020,2703,2023,11
07-19-2020,2724,2035,11
07-20-2020,2730,2041,11
07-21-2020,2730,2048,11
07-22-2020,2752,2064,11
07-23-2020,2753,2077,11
07-24-2020,2764,2094,11
07-25-2020,2770,2103,11
07-26-2020,2782,2106,11
07-27-2020,2805,2121,11
07-28-2020,2810,2296,11
07-28-2020,2810,2296,11
07-29-2020,2810,2317,11
07-30-2020,2814,2333,11
07-31-2020,2815,2391,11
08-01-2020,2815,2439,11
08-02-2020,2823,2514,11
08-03-2020,2828,2517,11
08-04-2020,2834,2524,11
08-05-2020,2839,2537,11
08-06-2020,2839,2541,11
08-07-2020,2839,2564,11
08-08-2020,2841,2576,11
08-09-2020,2844,2579,11
08-10-2020,2871,2593,11
08-11-2020,2880,2622,11
08-12-2020,2881,2638,11
08-13-2020,2882,2646,11
08-14-2020,2886,2658,11
08-15-2020,2890,2666,11
08-16-2020,2893,2670,11
08-17-2020,2900,2676,11
08-18-2020,2902,2755,11
08-19-2020,2902,2760,11
08-20-2020,2918,2765,11
08-21-2020,2941,2789,11
08-22-2020,2947,2798,12
08-23-2020,2953,2805,12
08-24-2020,2959,2811,12
08-25-2020,2971,2816,12
08-26-2020,2984,2819,12
08-27-2020,2986,2830,12
08-28-2020,2989,2842,12
08-29-2020,2995,2849,12
08-30-2020,3012,2860,12
08-31-2020,3049,2868,12
09-01-2020,3092,2879,12
09-02-2020,3101,2883,12
09-03-2020,3111,2883,12
09-04-2020,3115,2907,12
09-05-2020,3121,2918,12
09-06-2020,3123,2925,12
09-07-2020,3123,2926,12
