







date,confirmed,cured,dead
03-11-2020,1908,25,3
03-12-2020,2078,25,3
03-13-2020,3675,46,7
03-14-2020,4585,46,9
03-15-2020,5795,46,11
03-16-2020,7272,67,17
03-17-2020,9257,67,24
03-18-2020,12327,105,28
03-19-2020,15320,113,44
03-20-2020,19848,180,67
03-21-2020,22213,233,84
03-22-2020,24873,266,94
03-23-2020,29056,453,123
03-24-2020,32986,3243,157
03-25-2020,37323,3547,206
03-26-2020,43938,5673,267
03-27-2020,50871,6658,342
03-28-2020,57695,8481,433
03-29-2020,62095,9211,533
03-30-2020,66885,13500,645
03-31-2020,71808,16100,775
04-01-2020,77872,18700,920
04-02-2020,84794,22440,1107
04-03-2020,91159,24575,1275
04-04-2020,96092,26400,1444
04-05-2020,100123,28700,1584
04-06-2020,103374,28700,1810
04-07-2020,107663,36081,2016
04-08-2020,113296,46300,2349
04-09-2020,118181,52407,2607
04-10-2020,122171,53913,2767
04-11-2020,124908,57400,2736
04-12-2020,127854,60300,3022
04-13-2020,130072,64300,3194
04-14-2020,131359,68200,3294
04-15-2020,134753,72600,3804
04-16-2020,137698,77000,4052
04-17-2020,141397,83114,4352
04-18-2020,143342,85400,4459
04-19-2020,145184,88000,4586
04-20-2020,147065,91500,4862
04-21-2020,148291,95200,5033
04-22-2020,150648,99400,5279
04-23-2020,153129,103300,5575
04-24-2020,154999,109800,5760
04-25-2020,156513,109800,5877
04-26-2020,157770,112000,5976
04-27-2020,158758,114500,6126
04-28-2020,159912,117400,6314
04-29-2020,161539,120400,6467
04-30-2020,163009,123500,6623
05-01-2020,164077,126900,6736
05-02-2020,164967,129000,6812
05-03-2020,165664,130600,6866
05-04-2020,166152,132700,6993
05-05-2020,167007,135100,6993
05-05-2020,167007,135100,6993
05-06-2020,168162,139900,7275
05-07-2020,169430,141700,7392
05-08-2020,170588,141700,7510
05-09-2020,171324,143300,7549
05-10-2020,171879,144400,7569
05-11-2020,172576,145617,7661
05-12-2020,173171,147200,7738
05-12-2020,173171,147200,7738
05-13-2020,174098,148700,7861
05-14-2020,174478,150300,7884
05-14-2020,174478,150300,7884
05-15-2020,175233,151597,7897
05-16-2020,175752,152600,7938
05-17-2020,176369,154011,7962
05-18-2020,176551,155041,8003
05-19-2020,177778,155681,8081
05-19-2020,177778,155681,8081
05-20-2020,178473,156966,8144
05-21-2020,179021,158087,8203
05-22-2020,179710,159064,8228
05-23-2020,179986,159716,8261
05-24-2020,180328,160281,8283
05-25-2020,180600,161199,8309
05-26-2020,181200,161967,8372
05-27-2020,181524,162820,8428
05-28-2020,182196,163360,8470
05-29-2020,182922,164245,8504
05-30-2020,183189,164908,8530
05-31-2020,183410,165352,8540
06-01-2020,183594,165632,8555
06-02-2020,183879,166609,8563
06-03-2020,184121,167453,8602
06-04-2020,184472,167909,8635
06-05-2020,184924,168480,8658
06-06-2020,185450,168958,8673
06-06-2020,185450,168958,8673
06-07-2020,185750,169224,8685
06-08-2020,186109,169556,8695
06-09-2020,186506,170129,8736
06-10-2020,186522,170630,8752
06-11-2020,186691,170961,8772
06-12-2020,187226,171535,8783
06-13-2020,187267,171970,8793
06-14-2020,187518,172089,8801
06-15-2020,187682,172692,8807
06-16-2020,188252,172842,8820
06-17-2020,188604,173599,8851
06-18-2020,189817,173847,8875
06-19-2020,190299,173972,8887
06-20-2020,190670,174609,8895
06-21-2020,191272,174740,8895
06-22-2020,191768,175143,8899
06-23-2020,192480,175825,8914
06-24-2020,192871,176422,8928
06-25-2020,193371,176764,8940
06-26-2020,194036,177149,8965
06-27-2020,194458,177518,8968
06-28-2020,194693,177657,8968
06-29-2020,195042,177770,8976
06-30-2020,195418,178100,8990
07-01-2020,195893,179100,8995
07-02-2020,196370,179800,9006
07-03-2020,196780,180300,9010
07-04-2020,197198,181000,9020
07-05-2020,197523,181719,9023
07-06-2020,198064,182160,9022
07-07-2020,198343,182661,9032
07-08-2020,198699,183153,9046
07-09-2020,199001,183728,9057
07-10-2020,199332,184028,9063
07-11-2020,199709,184266,9070
07-12-2020,199919,184414,9071
07-13-2020,200180,185100,9074
07-14-2020,200456,185100,9078
07-15-2020,200890,186000,9080
07-16-2020,201450,186400,9087
07-17-2020,202045,186900,9088
07-18-2020,202426,187200,9091
07-18-2020,202426,187200,9091
07-18-2020,202426,187200,9091
07-19-2020,202735,187400,9092
07-20-2020,203325,188070,9094
07-21-2020,203717,188221,9099
07-22-2020,204276,188628,9102
07-23-2020,204881,189140,9110
07-24-2020,205623,189696,9120
07-25-2020,206278,189919,9124
07-26-2020,206667,190055,9124
07-27-2020,207112,190314,9125
