







date,confirmed,cured,dead
03-19-2020,1,0,0
03-20-2020,1,0,0
03-21-2020,1,0,0
03-22-2020,2,0,0
03-23-2020,3,0,0
03-24-2020,4,0,0
03-25-2020,5,0,0
03-26-2020,5,0,0
03-27-2020,5,0,0
03-28-2020,5,0,0
03-29-2020,5,0,0
03-30-2020,5,0,0
03-31-2020,5,0,0
04-01-2020,5,0,0
04-02-2020,7,0,0
04-03-2020,7,0,0
04-04-2020,12,0,0
04-05-2020,12,0,0
04-06-2020,14,0,0
04-07-2020,15,0,0
04-08-2020,15,0,0
04-09-2020,15,0,0
04-10-2020,16,0,0
04-11-2020,16,0,0
04-12-2020,16,0,0
04-13-2020,16,0,0
04-14-2020,16,0,0
04-15-2020,16,0,0
04-16-2020,17,0,0
04-17-2020,17,0,0
04-18-2020,17,0,0
04-19-2020,17,0,0
04-20-2020,18,3,0
04-21-2020,18,3,0
04-22-2020,18,8,0
04-23-2020,18,8,0
04-24-2020,18,10,0
04-25-2020,18,10,0
04-26-2020,18,12,0
04-27-2020,18,12,0
04-28-2020,18,12,0
04-29-2020,18,12,0
04-30-2020,18,12,0
05-01-2020,18,12,0
05-02-2020,18,14,0
05-03-2020,18,14,0
05-04-2020,18,14,0
05-05-2020,18,14,0
05-05-2020,18,14,0
05-06-2020,18,14,0
05-07-2020,18,14,0
05-08-2020,18,14,0
05-09-2020,18,14,0
05-10-2020,18,14,0
05-11-2020,18,14,0
05-12-2020,18,14,0
05-12-2020,18,14,0
05-13-2020,18,14,0
05-14-2020,18,14,0
05-14-2020,18,14,0
05-15-2020,18,15,0
05-16-2020,18,15,0
05-17-2020,18,15,0
05-18-2020,18,15,0
05-19-2020,18,15,0
05-19-2020,18,15,0
05-20-2020,18,15,0
05-21-2020,18,15,0
05-22-2020,18,15,0
05-23-2020,18,15,0
05-24-2020,18,15,0
05-25-2020,18,15,0
05-26-2020,18,15,0
05-27-2020,18,15,0
05-28-2020,18,15,0
05-29-2020,18,15,0
05-30-2020,18,15,0
05-31-2020,18,15,0
