







date,confirmed,cured,dead
03-11-2020,10,0,0
03-12-2020,16,0,0
03-13-2020,32,0,0
03-14-2020,44,0,0
03-15-2020,54,0,0
03-16-2020,63,0,0
03-17-2020,72,0,0
03-18-2020,105,0,1
03-19-2020,123,0,1
03-20-2020,137,0,1
03-21-2020,178,0,1
03-22-2020,185,7,0
03-23-2020,186,7,0
03-24-2020,204,7,0
03-25-2020,216,7,0
03-26-2020,226,2,0
03-27-2020,269,2,0
03-28-2020,292,2,0
03-29-2020,314,2,0
03-30-2020,336,7,0
03-31-2020,363,3,0
04-01-2020,400,3,1
04-02-2020,426,5,1
04-03-2020,450,10,1
04-04-2020,471,10,1
04-05-2020,485,10,1
04-06-2020,534,8,2
04-07-2020,581,13,2
04-08-2020,682,16,2
04-09-2020,701,23,2
04-10-2020,715,23,2
04-11-2020,728,23,2
04-12-2020,742,23,2
04-13-2020,769,107,2
04-14-2020,835,113,2
04-15-2020,863,151,6
04-16-2020,977,167,8
04-17-2020,1049,175,9
04-18-2020,1089,213,11
04-19-2020,1161,229,12
04-20-2020,1173,251,13
04-21-2020,1199,258,14
04-22-2020,1244,284,14
04-23-2020,1325,288,15
04-24-2020,1360,355,17
04-25-2020,1373,386,17
04-26-2020,1379,394,18
04-27-2020,1381,403,18
04-28-2020,1384,423,20
04-29-2020,1391,484,22
04-30-2020,1396,524,23
05-01-2020,1403,558,23
05-02-2020,1407,608,24
05-03-2020,1408,619,24
05-04-2020,1413,643,25
05-05-2020,1421,741,25
05-05-2020,1421,741,25
05-06-2020,1429,762,25
05-07-2020,1445,806,26
05-08-2020,1455,905,26
05-09-2020,1455,919,26
05-10-2020,1457,941,26
05-11-2020,1457,959,26
05-12-2020,1465,983,27
05-12-2020,1465,983,27
05-13-2020,1469,1060,27
05-14-2020,1477,1112,27
05-14-2020,1477,1112,27
05-15-2020,1480,1131,27
05-16-2020,1493,1151,28
05-17-2020,1494,1163,28
05-18-2020,1495,1185,28
05-19-2020,1495,1192,28
05-19-2020,1495,1192,28
05-20-2020,1496,1231,28
05-21-2020,1502,1245,28
05-22-2020,1503,1256,28
05-23-2020,1504,1280,28
05-24-2020,1509,1301,28
05-25-2020,1511,1307,28
05-26-2020,1513,1322,28
05-27-2020,1515,1327,28
05-28-2020,1520,1332,28
05-29-2020,1520,1338,28
05-30-2020,1521,1356,28
05-31-2020,1521,1366,28
06-01-2020,1522,1368,28
06-02-2020,1522,1372,28
06-03-2020,1525,1375,28
06-04-2020,1526,1376,28
06-05-2020,1526,1379,28
06-06-2020,1528,1379,28
06-06-2020,1528,1379,28
06-07-2020,1528,1389,28
06-08-2020,1530,1396,28
06-09-2020,1531,1402,28
06-10-2020,1533,1404,28
06-11-2020,1541,1409,28
06-12-2020,1542,1409,28
06-13-2020,1545,1410,28
06-14-2020,1548,1410,28
06-15-2020,1552,1410,28
06-16-2020,1552,1426,28
06-17-2020,1561,1437,28
06-18-2020,1562,1443,28
06-19-2020,1576,1447,28
06-20-2020,1586,1447,28
06-21-2020,1587,1447,28
06-22-2020,1588,1447,28
06-23-2020,1589,1448,28
06-24-2020,1607,1448,28
06-25-2020,1630,1452,28
06-26-2020,1643,1455,28
06-27-2020,1657,1455,28
06-28-2020,1664,1461,28
06-29-2020,1665,1464,28
06-30-2020,1667,1464,28
07-01-2020,1687,1466,28
07-02-2020,1700,1466,28
07-03-2020,1720,1466,28
07-04-2020,1749,1466,28
07-05-2020,1764,1466,28
07-06-2020,1765,1466,28
07-07-2020,1767,1473,28
07-08-2020,1798,1473,28
07-09-2020,1851,1477,28
07-10-2020,1870,1481,28
07-11-2020,1893,1493,28
07-12-2020,1901,1493,28
07-13-2020,1902,1493,28
07-14-2020,1908,1493,28
07-15-2020,1927,1507,28
07-16-2020,1951,1514,28
07-17-2020,1965,1523,28
07-18-2020,1976,1523,28
07-18-2020,1976,1523,28
07-18-2020,1976,1523,28
07-19-2020,1979,1530,28
07-20-2020,1980,1538,28
07-21-2020,2021,1538,28
07-22-2020,2058,1556,28
07-23-2020,2089,1556,28
07-24-2020,2118,1577,28
07-25-2020,2141,1577,28
07-26-2020,2179,1577,28
07-27-2020,2181,1616,28
07-28-2020,2204,1644,28
07-28-2020,2204,1644,28
07-29-2020,2245,1660,28
07-30-2020,2265,1675,28
07-31-2020,2292,1695,29
08-01-2020,2337,1742,29
08-02-2020,2344,1742,29
08-03-2020,2354,1746,29
08-04-2020,2368,1771,29
08-05-2020,2417,1777,29
08-06-2020,2480,1824,29
08-07-2020,2523,1846,31
08-08-2020,2566,1861,31
08-09-2020,2596,1864,31
08-10-2020,2599,1866,31
08-11-2020,2615,1874,31
08-12-2020,2690,1884,31
08-13-2020,2739,1939,31
08-14-2020,2801,1944,31
08-15-2020,2855,1969,31
08-16-2020,2902,1969,31
08-17-2020,2907,1969,31
08-18-2020,2922,1980,31
08-19-2020,3022,1997,33
08-20-2020,3102,2014,33
08-21-2020,3225,2045,33
08-22-2020,3316,2147,33
08-23-2020,3356,2148,33
08-24-2020,3424,2153,33
08-25-2020,3452,2167,33
08-26-2020,3536,2192,33
08-27-2020,3626,2206,33
08-28-2020,3728,2225,33
08-29-2020,3842,2254,33
08-30-2020,3876,2278,33
08-31-2020,3917,2377,33
09-01-2020,3989,2478,33
09-02-2020,4042,2523,33
09-03-2020,4163,2617,37
09-04-2020,4300,2693,37
09-05-2020,4526,2797,37
09-06-2020,4614,2802,37
09-07-2020,4636,2836,37
09-08-2020,4727,2913,37
09-09-2020,4888,2947,37
09-10-2020,5066,3001,37
09-11-2020,5252,3081,37
09-12-2020,5453,3114,38
09-13-2020,5532,3124,38
09-14-2020,5580,3129,38
09-15-2020,5768,3214,38
09-16-2020,5860,3220,38
09-17-2020,6021,3288,39
09-18-2020,6256,3390,39
09-19-2020,6546,3519,39
09-20-2020,6677,3548,39
09-21-2020,6756,3571,39
09-22-2020,6931,3668,40
09-23-2020,7269,3888,41
09-24-2020,7629,3978,41
09-25-2020,8048,4036,41
09-26-2020,8600,4098,44
09-27-2020,9078,4178,44
09-28-2020,9343,4213,44
09-29-2020,9574,4329,45
09-30-2020,10141,4395,48
10-01-2020,10938,4620,48
10-02-2020,11617,4756,54
10-03-2020,12321,4793,54
10-04-2020,13139,4828,55
10-05-2020,13492,4865,55
10-06-2020,13812,5027,55
10-07-2020,14689,5200,55
10-08-2020,15726,5353,57
10-09-2020,16910,5452,57
10-10-2020,18797,5553,61
10-11-2020,19851,5631,61
10-12-2020,20355,6031,61
10-13-2020,20886,6388,61
10-14-2020,22296,6709,66
10-15-2020,24225,6926,71
10-16-2020,26300,7182,71
10-17-2020,28268,7297,82
10-18-2020,29835,7359,88
10-19-2020,30695,7536,92
10-20-2020,31400,8004,98
10-21-2020,33602,8404,98
10-22-2020,35330,8763,115
10-23-2020,37911,8859,134
10-24-2020,40801,9920,159
10-25-2020,43843,9960,159
10-26-2020,45155,10130,165
10-27-2020,46056,11008,176
10-28-2020,48943,11799,184
10-29-2020,51728,12227,200
10-30-2020,55091,12508,212
10-31-2020,57664,12617,219
11-01-2020,59946,12798,219
11-02-2020,61829,13012,219
11-03-2020,63556,14257,235
11-04-2020,66772,15474,261
11-05-2020,68734,16426,286
11-06-2020,71088,16990,317
11-07-2020,73667,18354,351
11-08-2020,75495,19481,351
11-09-2020,76072,19757,366
11-10-2020,77123,21718,390
11-11-2020,79181,23247,414
11-12-2020,81772,24314,464
11-13-2020,83796,26439,491
11-14-2020,85567,29024,510
11-15-2020,86767,30519,510
11-16-2020,87276,31053,526
11-17-2020,88602,33906,557
11-18-2020,89913,35924,579
11-19-2020,91578,38695,579
11-20-2020,93396,40816,614
11-21-2020,95257,43188,644
11-22-2020,96241,45883,671
11-23-2020,96472,47933,693
11-24-2020,97493,50738,709
11-25-2020,99304,53547,732
11-26-2020,101257,56378,749
11-27-2020,103106,59285,771
11-28-2020,104632,62094,798
11-29-2020,105733,64197,816
11-30-2020,105929,66041,839
12-01-2020,107183,68859,868
12-02-2020,109226,71738,898
12-03-2020,111208,74273,930
12-04-2020,113392,77142,957
12-05-2020,115462,79956,981
12-06-2020,116731,82666,996
12-07-2020,117283,84850,1018
