







date,confirmed,cured,dead
03-11-2020,91,0,0
03-12-2020,94,0,0
03-13-2020,141,0,0
03-14-2020,189,0,0
03-15-2020,253,0,0
03-16-2020,298,3,0
03-17-2020,396,3,0
03-18-2020,464,3,0
03-19-2020,694,3,0
03-20-2020,833,4,0
03-21-2020,995,6,0
03-22-2020,1120,6,1
03-23-2020,1236,7,1
03-24-2020,1394,10,3
03-25-2020,1654,10,6
03-26-2020,1925,10,9
03-27-2020,2279,11,9
03-28-2020,2631,11,11
03-29-2020,2817,11,16
03-30-2020,3001,25,23
03-31-2020,3308,45,31
04-01-2020,3508,61,39
04-02-2020,3858,67,44
04-03-2020,4091,72,53
04-04-2020,4472,78,59
04-05-2020,4587,96,67
04-06-2020,4822,121,78
04-07-2020,5017,172,88
04-08-2020,5312,233,99
04-09-2020,5569,301,112
04-10-2020,5732,346,119
04-11-2020,5831,411,129
04-12-2020,5991,464,138
04-13-2020,6059,519,143
04-14-2020,6111,642,161
04-15-2020,6216,819,166
04-16-2020,6433,972,169
04-17-2020,6549,1174,173
04-18-2020,6606,1227,181
04-19-2020,6746,1298,186
04-20-2020,6900,1559,194
04-21-2020,7033,1753,201
04-22-2020,7132,1989,208
04-23-2020,7187,2152,210
04-24-2020,7273,2371,214
04-25-2020,7352,2453,218
04-26-2020,7404,2545,220
04-27-2020,7445,2826,223
04-28-2020,7504,2948,227
04-29-2020,7579,3108,227
04-30-2020,7682,3314,236
05-01-2020,7737,3372,240
05-02-2020,7755,3461,245
05-03-2020,7781,3587,248
05-04-2020,7819,3807,252
05-05-2020,7896,4006,257
05-05-2020,7896,4006,257
05-06-2020,7974,4205,262
05-07-2020,8031,4371,270
05-08-2020,8077,4413,273
05-09-2020,8095,4447,276
05-10-2020,8123,4474,280
05-11-2020,8176,4711,282
05-12-2020,8221,4889,283
05-12-2020,8221,4889,283
05-13-2020,8269,5047,290
05-14-2020,8351,5241,293
05-14-2020,8351,5241,293
05-15-2020,8406,5381,295
05-16-2020,8455,5422,296
05-17-2020,8475,5462,298
05-18-2020,8586,5641,297
05-19-2020,8647,5726,302
05-19-2020,8647,5726,302
05-20-2020,8721,5830,304
05-21-2020,8754,5926,306
05-22-2020,8813,6025,312
05-23-2020,8890,6044,314
05-24-2020,8955,6078,315
05-25-2020,9002,6182,317
05-26-2020,9050,6270,317
05-27-2020,9086,6370,317
05-28-2020,9140,6460,319
05-29-2020,9196,6500,319
05-30-2020,9230,6546,319
05-31-2020,9268,6558,320
06-01-2020,9302,6642,321
06-02-2020,9364,6686,323
06-03-2020,9438,6749,325
06-04-2020,9494,6809,326
06-05-2020,9529,6881,327
06-06-2020,9567,6885,327
06-06-2020,9567,6885,327
06-07-2020,9628,6891,327
06-08-2020,9697,6994,328
06-09-2020,9751,7053,328
06-10-2020,9824,7111,330
06-11-2020,9855,7166,328
06-12-2020,9938,7215,329
06-13-2020,9991,7219,328
06-14-2020,10024,7226,329
06-15-2020,10064,7296,330
06-16-2020,10111,7358,331
06-17-2020,10162,7399,333
06-18-2020,10280,7440,334
06-19-2020,10406,7473,335
06-20-2020,10448,7477,336
06-21-2020,10498,7499,336
06-22-2020,10523,7537,336
06-23-2020,10650,7555,339
06-24-2020,10777,7588,343
06-25-2020,10870,7649,345
06-26-2020,11038,7668,349
06-27-2020,11298,7682,349
06-28-2020,11603,7705,348
06-29-2020,11805,7746,348
06-30-2020,11954,7771,349
07-01-2020,12046,7797,349
07-02-2020,12178,7822,353
07-03-2020,12319,7848,353
07-04-2020,12440,7852,351
07-05-2020,12515,7864,348
07-06-2020,12566,7873,350
07-07-2020,12685,7910,351
07-08-2020,12814,8010,351
07-09-2020,12919,8128,352
07-10-2020,13001,8208,352
07-11-2020,13115,8227,352
07-12-2020,13174,8247,352
07-13-2020,13238,8373,353
07-14-2020,13341,8441,355
07-15-2020,13475,8507,355
07-16-2020,13612,8640,355
07-17-2020,13742,8725,358
07-18-2020,13855,8733,358
07-18-2020,13855,8733,358
07-18-2020,13855,8733,358
07-19-2020,13945,8761,359
07-20-2020,14098,8836,359
07-21-2020,14324,8918,360
07-22-2020,14570,9144,364
07-23-2020,14800,9328,365
07-24-2020,15081,9422,369
07-25-2020,15212,9590,369
07-26-2020,15324,11428,371
07-27-2020,15516,11428,373
07-28-2020,15799,11428,374
07-28-2020,15799,11428,374
07-29-2020,16093,11429,374
07-30-2020,16371,11482,379
07-31-2020,16574,11569,382
08-01-2020,16699,11587,383
08-02-2020,16800,11605,384
08-03-2020,17008,11708,386
08-04-2020,17286,11812,383
08-05-2020,17529,11909,388
08-06-2020,17731,12320,390
08-07-2020,18060,12749,389
08-08-2020,18235,12764,389
08-09-2020,18353,12785,390
08-10-2020,18494,12983,390
08-11-2020,18783,13222,391
08-12-2020,19075,13407,391
08-13-2020,19401,13574,391
08-14-2020,19693,13731,394
08-15-2020,19891,13763,395
08-16-2020,20012,13799,397
08-17-2020,20202,14622,399
08-18-2020,20483,15146,401
08-19-2020,20798,15615,404
08-20-2020,21045,15886,406
08-21-2020,21551,16040,411
08-22-2020,21790,16087,411
08-23-2020,21923,16125,412
08-24-2020,22181,16376,415
08-25-2020,22548,16662,416
08-26-2020,22951,16954,418
08-27-2020,23169,17190,418
08-28-2020,23777,17497,419
08-29-2020,24094,17541,421
08-30-2020,24367,17547,423
08-31-2020,24618,17807,424
09-01-2020,25117,18116,425
09-02-2020,25773,18326,425
09-03-2020,26452,18663,426
09-04-2020,27249,19027,429
09-05-2020,27752,19039,431
09-06-2020,28156,19053,436
09-07-2020,28716,19855,437
09-08-2020,29877,20139,441
09-09-2020,31036,20374,444
09-10-2020,32413,20787,448
09-11-2020,33860,21140,450
09-12-2020,35401,21205,453
09-13-2020,36188,21294,456
09-14-2020,37222,22020,465
09-15-2020,38896,22613,476
09-16-2020,41032,22931,482
09-17-2020,44155,23377,489
09-18-2020,46262,23858,495
09-19-2020,48306,24228,499
09-20-2020,49290,24755,503
09-21-2020,50764,25425,522
09-22-2020,53158,26151,531
09-23-2020,55464,26709,555
09-24-2020,58374,27382,567
09-25-2020,61318,30740,581
09-26-2020,63294,30936,591
09-27-2020,64597,31268,606
09-28-2020,65883,31799,618
09-29-2020,67843,32759,636
09-30-2020,68919,33443,655
10-01-2020,74255,34186,678
10-02-2020,78051,35032,699
10-03-2020,80605,39073,711
10-04-2020,82446,44149,727
10-05-2020,85566,46636,758
10-06-2020,90022,48788,794
10-07-2020,95360,50767,829
10-08-2020,100757,51160,869
10-09-2020,109374,53173,905
10-10-2020,114005,54909,948
10-11-2020,117110,54980,987
10-12-2020,121421,58200,1051
10-13-2020,129747,59901,1106
10-14-2020,139290,60901,1172
10-15-2020,149010,63350,1230
10-16-2020,160112,66093,1283
10-17-2020,168827,68945,1352
10-18-2020,173885,72134,1422
10-19-2020,181962,74908,1513
10-20-2020,193946,79108,1619
10-21-2020,208915,83136,1739
10-22-2020,223065,87225,1845
10-23-2020,238323,91651,1971
10-24-2020,250797,94902,2077
10-25-2020,258097,97381,2201
10-26-2020,268370,103220,2365
10-27-2020,284033,111443,2547
10-28-2020,297013,119373,2675
10-29-2020,310068,128628,2862
10-30-2020,323673,137575,3078
10-31-2020,335102,143359,3251
