







date,confirmed,cured,dead
03-24-2020,1,0,0
03-25-2020,1,0,0
03-26-2020,1,0,0
03-27-2020,1,0,0
03-28-2020,3,0,0
03-29-2020,8,0,0
03-30-2020,8,0,0
03-31-2020,10,1,0
04-01-2020,10,0,0
04-02-2020,11,0,1
04-03-2020,11,0,1
04-04-2020,18,0,1
04-05-2020,18,0,1
04-06-2020,19,1,1
04-07-2020,20,1,1
04-08-2020,21,8,1
04-09-2020,24,8,1
04-10-2020,24,8,1
04-11-2020,24,8,1
04-12-2020,25,9,1
04-13-2020,26,9,1
04-14-2020,35,9,1
04-15-2020,48,9,1
04-16-2020,49,11,1
04-17-2020,49,11,1
04-18-2020,49,11,1
04-19-2020,51,11,1
04-20-2020,51,15,1
04-21-2020,51,15,1
04-22-2020,59,15,1
04-23-2020,60,15,2
04-24-2020,61,18,2
04-25-2020,61,18,2
04-26-2020,61,18,2
04-27-2020,61,18,2
04-28-2020,61,18,2
04-29-2020,61,18,2
04-30-2020,61,18,3
05-01-2020,63,18,3
05-02-2020,63,22,3
05-03-2020,63,22,3
05-04-2020,63,23,3
05-05-2020,63,23,3
05-05-2020,63,23,3
05-06-2020,64,24,3
05-07-2020,64,24,3
05-08-2020,64,24,3
05-09-2020,64,24,3
05-10-2020,64,24,3
05-11-2020,64,28,3
05-12-2020,64,28,3
05-12-2020,64,28,3
05-13-2020,64,28,3
05-14-2020,64,28,3
05-14-2020,64,28,3
05-15-2020,64,28,3
05-16-2020,65,28,3
05-17-2020,65,35,3
05-18-2020,65,35,3
05-19-2020,68,35,3
05-19-2020,68,35,3
05-20-2020,69,35,3
05-21-2020,71,35,3
05-22-2020,72,38,3
05-23-2020,75,39,3
05-24-2020,75,39,3
05-25-2020,75,40,3
05-26-2020,77,40,3
05-27-2020,99,40,4
05-28-2020,105,41,5
05-29-2020,118,41,5
05-30-2020,130,50,5
05-31-2020,156,52,5
06-01-2020,168,52,5
06-02-2020,182,52,5
06-03-2020,196,52,5
06-04-2020,209,52,5
06-05-2020,239,52,5
06-06-2020,256,52,5
06-06-2020,256,52,5
06-07-2020,256,52,5
06-08-2020,332,57,5
06-09-2020,359,58,5
06-10-2020,378,59,5
06-11-2020,393,59,5
06-12-2020,409,59,6
06-13-2020,418,62,8
06-14-2020,454,63,10
06-15-2020,467,70,10
06-16-2020,484,76,10
06-17-2020,500,78,10
06-18-2020,510,81,10
06-19-2020,520,83,10
06-20-2020,544,98,10
06-21-2020,571,103,10
06-22-2020,595,116,10
06-23-2020,639,132,17
06-24-2020,670,138,18
06-25-2020,698,140,18
06-26-2020,713,142,18
06-27-2020,727,171,18
06-28-2020,762,196,21
06-29-2020,802,206,23
06-30-2020,824,209,24
07-01-2020,874,223,25
07-02-2020,891,224,26
07-03-2020,918,230,27
07-04-2020,989,258,27
07-05-2020,1046,261,32
07-06-2020,1117,269,34
07-07-2020,1182,295,35
07-08-2020,1268,306,36
07-09-2020,1342,307,38
07-10-2020,1342,307,38
07-11-2020,1389,340,38
07-12-2020,1433,341,39
07-13-2020,1512,367,40
07-14-2020,1563,370,42
07-15-2020,1589,373,43
07-16-2020,1652,379,46
07-17-2020,1704,380,47
07-18-2020,1791,385,48
07-18-2020,1791,385,48
07-18-2020,1791,385,48
07-19-2020,1866,418,48
07-20-2020,1980,441,49
07-21-2020,2088,479,50
07-22-2020,2176,489,53
07-23-2020,2314,501,56
07-24-2020,2424,504,57
07-25-2020,2547,510,58
07-26-2020,2669,553,60
07-27-2020,2827,577,64
07-28-2020,3017,579,67
