







date,confirmed,cured,dead
05-13-2020,1,0,0
05-14-2020,1,0,0
05-14-2020,1,0,0
05-15-2020,1,0,0
05-16-2020,1,0,0
05-17-2020,1,0,0
05-18-2020,1,0,0
05-19-2020,1,0,0
05-19-2020,1,0,0
05-20-2020,1,0,0
05-21-2020,1,0,0
05-22-2020,2,0,0
05-23-2020,2,0,0
05-24-2020,2,0,0
05-25-2020,2,0,0
05-26-2020,2,0,0
05-27-2020,2,0,0
05-28-2020,2,1,0
05-29-2020,2,1,0
05-30-2020,2,1,0
05-31-2020,2,1,0
06-01-2020,2,1,0
06-02-2020,2,1,0
06-03-2020,4,2,0
06-04-2020,4,2,0
06-05-2020,4,2,0
06-06-2020,4,2,0
06-06-2020,4,2,0
06-07-2020,4,2,0
06-08-2020,4,2,0
06-09-2020,4,2,0
06-10-2020,4,2,0
06-11-2020,4,2,0
06-12-2020,4,2,0
06-13-2020,4,2,0
06-14-2020,4,2,0
06-15-2020,4,2,0
06-16-2020,4,2,0
06-17-2020,4,2,0
06-18-2020,4,2,0
06-19-2020,4,2,0
06-20-2020,4,2,0
06-21-2020,4,2,0
06-22-2020,12,2,0
06-23-2020,17,2,0
06-24-2020,17,2,0
06-25-2020,17,2,0
06-26-2020,24,4,0
06-27-2020,24,4,0
06-28-2020,27,4,0
06-29-2020,27,4,0
06-30-2020,27,4,0
07-01-2020,35,11,0
07-02-2020,35,11,0
07-03-2020,35,11,0
07-04-2020,35,11,0
07-05-2020,79,11,0
07-06-2020,91,11,0
07-07-2020,91,11,0
07-08-2020,91,11,0
07-09-2020,134,20,1
07-10-2020,184,26,1
07-11-2020,184,26,1
07-12-2020,233,32,2
07-13-2020,245,33,3
07-14-2020,256,48,3
07-15-2020,256,48,3
07-16-2020,256,48,3
07-17-2020,311,69,6
07-18-2020,359,69,6
07-18-2020,359,69,6
07-18-2020,359,69,6
07-19-2020,359,69,6
07-20-2020,359,69,6
07-21-2020,359,69,6
07-22-2020,359,69,6
07-23-2020,359,69,6
07-24-2020,359,69,6
07-25-2020,419,69,9
07-26-2020,505,128,12
07-27-2020,505,128,12
07-28-2020,505,128,12
07-28-2020,505,128,12
07-29-2020,576,141,13
07-30-2020,604,144,13
07-31-2020,604,144,13
08-01-2020,702,171,14
08-02-2020,718,173,19
08-03-2020,718,173,19
08-04-2020,726,174,21
08-05-2020,726,174,21
08-06-2020,742,175,23
08-07-2020,742,175,23
08-08-2020,742,175,23
08-09-2020,742,175,23
08-10-2020,781,175,24
08-11-2020,781,175,24
08-12-2020,798,175,24
08-13-2020,884,271,25
08-14-2020,884,271,25
08-15-2020,903,271,25
08-16-2020,903,271,25
08-17-2020,946,271,30
08-18-2020,946,271,30
08-19-2020,946,271,30
08-20-2020,996,423,30
08-21-2020,1015,472,30
08-22-2020,1015,472,30
08-23-2020,1015,472,30
08-24-2020,1015,472,30
08-25-2020,1049,472,30
08-26-2020,1051,526,31
08-27-2020,1051,526,31
08-28-2020,1051,526,31
08-29-2020,1051,526,31
08-30-2020,1085,528,31
08-31-2020,1085,528,31
09-01-2020,1085,528,31
09-02-2020,1085,528,31
09-03-2020,1085,528,31
09-04-2020,1148,528,31
09-05-2020,1148,528,31
09-06-2020,1148,528,31
09-07-2020,1148,528,31
09-08-2020,1148,528,31
09-09-2020,1164,528,31
09-10-2020,1164,528,31
09-11-2020,1245,528,33
09-12-2020,1245,528,33
09-13-2020,1245,528,33
09-14-2020,1245,528,33
09-15-2020,1327,687,33
09-16-2020,1327,687,33
09-17-2020,1327,687,33
09-18-2020,1390,754,33
09-19-2020,1390,754,33
09-20-2020,1424,754,33
09-21-2020,1424,754,33
