







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,2,0,0
03-13-2020,2,0,0
03-14-2020,2,0,0
03-15-2020,2,0,0
03-16-2020,7,0,0
03-17-2020,7,0,0
03-18-2020,7,0,0
03-19-2020,7,0,0
03-20-2020,11,0,0
03-21-2020,11,0,0
03-22-2020,23,1,0
03-23-2020,23,1,0
03-24-2020,23,1,0
03-25-2020,31,1,0
03-26-2020,33,1,0
03-27-2020,42,1,0
03-28-2020,42,1,0
03-29-2020,46,1,1
03-30-2020,49,1,1
03-31-2020,52,2,1
04-01-2020,55,2,1
04-02-2020,60,2,1
04-03-2020,64,3,1
04-04-2020,66,3,1
04-05-2020,73,3,1
04-06-2020,77,4,1
04-07-2020,79,4,1
04-08-2020,81,4,1
04-09-2020,84,5,1
04-10-2020,90,5,1
04-11-2020,92,5,1
04-12-2020,93,6,1
04-13-2020,93,6,1
04-14-2020,93,6,1
04-15-2020,93,12,3
04-16-2020,93,12,3
04-17-2020,94,20,3
04-18-2020,94,22,3
04-19-2020,94,22,3
04-20-2020,94,23,3
04-21-2020,94,26,3
04-22-2020,94,26,3
04-23-2020,94,35,4
04-24-2020,94,41,4
04-25-2020,94,42,4
04-26-2020,94,42,4
04-27-2020,95,42,4
04-28-2020,95,50,4
04-29-2020,95,58,4
04-30-2020,95,64,4
05-01-2020,95,73,4
05-02-2020,95,78,4
05-03-2020,95,78,4
05-04-2020,95,78,4
05-05-2020,95,81,4
05-05-2020,95,81,4
05-06-2020,95,82,4
05-07-2020,95,82,4
05-08-2020,95,82,4
05-09-2020,96,82,4
05-10-2020,96,82,4
05-11-2020,96,85,4
05-12-2020,96,85,4
05-12-2020,96,85,4
05-13-2020,96,87,4
05-14-2020,96,87,4
05-14-2020,96,87,4
05-15-2020,96,87,4
05-16-2020,96,87,4
05-17-2020,96,87,4
05-18-2020,97,87,4
05-19-2020,97,87,4
05-19-2020,97,87,4
05-20-2020,97,90,4
05-21-2020,97,90,4
05-22-2020,97,90,4
05-23-2020,98,90,4
05-24-2020,98,90,4
05-25-2020,98,90,4
05-26-2020,98,90,4
05-27-2020,98,90,4
05-28-2020,98,90,4
05-29-2020,98,90,4
05-30-2020,99,90,4
05-31-2020,99,90,4
06-01-2020,99,90,4
06-02-2020,99,90,4
06-03-2020,99,90,4
06-04-2020,99,92,4
06-05-2020,99,93,4
06-06-2020,99,93,4
06-06-2020,99,93,4
06-07-2020,99,93,4
06-08-2020,99,93,4
06-09-2020,99,93,4
06-10-2020,99,93,4
06-11-2020,99,93,4
06-12-2020,99,93,4
06-13-2020,99,93,4
06-14-2020,99,93,4
06-15-2020,99,93,4
06-16-2020,99,94,4
06-17-2020,99,94,4
06-18-2020,99,94,4
06-19-2020,99,94,4
06-20-2020,99,94,4
06-21-2020,100,94,4
06-22-2020,101,95,4
06-23-2020,101,95,4
06-24-2020,102,95,4
06-25-2020,102,95,4
06-26-2020,102,95,4
06-27-2020,103,95,4
06-28-2020,103,95,4
06-29-2020,103,95,4
06-30-2020,103,95,4
07-01-2020,103,95,4
07-02-2020,106,95,4
07-03-2020,106,95,4
07-04-2020,106,95,4
07-05-2020,108,95,4
07-06-2020,108,95,4
07-07-2020,108,95,4
07-08-2020,108,95,4
07-09-2020,108,96,4
07-10-2020,108,96,4
07-11-2020,109,96,4
07-12-2020,109,97,4
07-13-2020,109,97,4
07-14-2020,109,97,4
07-15-2020,109,97,4
07-16-2020,109,98,4
07-17-2020,109,98,4
07-18-2020,109,98,4
07-18-2020,109,98,4
07-18-2020,109,98,4
07-19-2020,109,98,4
07-20-2020,109,100,4
07-21-2020,111,100,4
07-22-2020,112,100,4
07-23-2020,114,100,4
07-24-2020,116,100,4
07-25-2020,116,104,4
07-26-2020,116,104,4
07-27-2020,116,104,4
07-28-2020,117,104,4
07-28-2020,117,104,4
07-29-2020,120,105,4
07-30-2020,120,105,4
07-31-2020,120,105,4
08-01-2020,120,105,4
08-02-2020,120,105,4
08-03-2020,121,105,4
08-04-2020,123,105,4
08-05-2020,125,105,4
08-06-2020,125,105,4
08-07-2020,128,105,4
08-08-2020,131,112,4
08-09-2020,133,113,4
08-10-2020,133,113,4
08-11-2020,138,113,4
08-12-2020,141,114,4
08-13-2020,144,114,4
08-14-2020,146,114,4
08-15-2020,146,114,4
08-16-2020,146,114,4
08-17-2020,148,114,4
08-18-2020,148,114,4
08-19-2020,148,114,4
08-20-2020,150,115,4
08-21-2020,154,116,4
08-22-2020,154,116,4
08-23-2020,154,116,4
08-24-2020,154,116,4
08-25-2020,154,116,4
08-26-2020,154,116,4
08-27-2020,154,116,4
08-28-2020,154,116,4
08-29-2020,154,116,4
08-30-2020,154,116,4
08-31-2020,154,116,4
09-01-2020,154,116,4
09-02-2020,142,91,1
09-03-2020,143,94,1
09-04-2020,147,97,1
09-05-2020,147,102,1
09-06-2020,147,102,1
09-07-2020,153,102,1
09-08-2020,156,107,1
09-09-2020,161,107,1
09-10-2020,165,107,1
09-11-2020,168,123,1
09-12-2020,169,123,1
09-13-2020,171,128,1
09-14-2020,177,132,1
09-15-2020,178,133,1
09-16-2020,181,137,1
09-17-2020,186,147,1
09-18-2020,191,152,1
09-19-2020,192,152,1
09-20-2020,193,153,1
09-21-2020,195,159,1
09-22-2020,197,163,1
09-23-2020,199,165,1
09-24-2020,205,166,1
09-25-2020,208,167,2
09-26-2020,210,169,2
09-27-2020,210,169,2
09-28-2020,212,174,2
09-29-2020,214,178,2
09-30-2020,218,181,2
10-01-2020,219,187,2
10-02-2020,221,188,2
10-03-2020,222,188,2
10-04-2020,222,189,2
10-05-2020,223,193,2
10-06-2020,224,198,2
10-07-2020,227,202,2
10-08-2020,229,207,2
10-09-2020,233,209,2
10-10-2020,233,209,2
10-11-2020,234,209,2
10-12-2020,236,213,2
10-13-2020,241,217,2
10-14-2020,248,217,2
10-15-2020,253,217,2
10-16-2020,255,217,2
10-17-2020,260,217,2
10-18-2020,265,217,2
10-19-2020,268,222,2
10-20-2020,271,227,2
10-21-2020,273,231,2
10-22-2020,281,233,2
10-23-2020,295,241,2
10-24-2020,296,244,2
10-25-2020,306,244,2
10-26-2020,310,250,2
10-27-2020,320,256,2
10-28-2020,337,256,2
10-29-2020,347,264,2
10-30-2020,355,273,2
10-31-2020,359,273,2
11-01-2020,366,274,2
11-02-2020,375,281,2
11-03-2020,397,293,2
