







date,confirmed,cured,dead
03-11-2020,7,0,0
03-12-2020,7,0,0
03-13-2020,14,1,0
03-14-2020,14,1,0
03-15-2020,14,1,0
03-16-2020,18,1,0
03-17-2020,26,1,0
03-18-2020,35,1,0
03-19-2020,48,1,0
03-20-2020,67,1,0
03-21-2020,85,1,0
03-22-2020,115,1,1
03-23-2020,136,1,2
03-24-2020,148,1,2
03-25-2020,177,1,3
03-26-2020,201,3,3
03-27-2020,219,3,3
03-28-2020,241,3,4
03-29-2020,259,3,6
03-30-2020,285,12,7
03-31-2020,329,12,9
04-01-2020,354,17,11
04-02-2020,384,17,11
04-03-2020,430,20,12
04-04-2020,483,20,17
04-05-2020,555,23,18
04-06-2020,570,30,23
04-07-2020,599,30,26
04-08-2020,617,35,29
04-09-2020,663,37,30
04-10-2020,711,41,32
04-11-2020,760,41,34
04-12-2020,828,41,34
04-13-2020,854,44,38
04-14-2020,908,86,44
04-15-2020,974,98,45
04-16-2020,1081,121,46
04-17-2020,1117,139,49
04-18-2020,1170,164,49
04-19-2020,1207,179,51
04-20-2020,1225,200,54
04-21-2020,1231,224,55
04-22-2020,1259,272,56
04-23-2020,1300,301,56
04-24-2020,1326,337,57
04-25-2020,1367,374,59
04-26-2020,1386,500,61
04-27-2020,1399,553,65
04-28-2020,1421,589,71
04-29-2020,1442,627,73
04-30-2020,1465,738,77
05-01-2020,1494,807,81
05-02-2020,1506,852,82
05-03-2020,1511,945,84
05-04-2020,1518,992,85
05-05-2020,1526,1013,86
05-05-2020,1526,1013,86
05-06-2020,1539,1057,88
05-07-2020,1572,1079,89
05-08-2020,1586,1099,90
05-09-2020,1622,1112,91
05-10-2020,1642,1136,91
05-11-2020,1664,1200,91
05-12-2020,1674,1205,92
05-12-2020,1674,1205,92
05-13-2020,1694,1229,95
05-14-2020,1723,1235,95
05-14-2020,1723,1235,95
05-15-2020,1740,1251,97
05-16-2020,1762,1267,98
05-17-2020,1792,1293,101
05-18-2020,1817,1301,104
05-19-2020,1839,1351,106
05-19-2020,1839,1351,106
05-20-2020,1858,1367,110
05-21-2020,1898,1378,111
05-22-2020,1921,1387,112
05-23-2020,1941,1411,113
05-24-2020,1978,1422,113
05-25-2020,1999,1439,113
05-26-2020,2014,1453,116
05-27-2020,2039,1470,119
05-28-2020,2077,1486,121
05-29-2020,2129,1516,126
05-30-2020,2164,1535,131
05-31-2020,2226,1552,133
06-01-2020,2315,1569,140
06-02-2020,2391,1595,141
06-03-2020,2492,1605,145
06-04-2020,2611,1621,147
06-05-2020,2790,1632,149
06-06-2020,2915,1640,151
06-06-2020,2915,1640,151
06-07-2020,3025,1646,153
06-08-2020,3152,1653,156
06-09-2020,3239,1658,157
06-10-2020,3364,1664,164
06-11-2020,3538,1682,169
06-12-2020,3701,1694,171
06-13-2020,3895,1705,179
06-14-2020,4057,1710,188
06-15-2020,4157,1723,193
06-16-2020,4299,1757,201
06-17-2020,4482,1803,210
06-18-2020,4664,1836,216
06-19-2020,4820,1863,222
06-20-2020,5005,1904,233
06-21-2020,5106,1926,238
06-22-2020,5196,1974,247
06-23-2020,5311,2048,251
06-24-2020,5445,2091,259
06-25-2020,5595,2166,265
06-26-2020,5758,2206,268
06-27-2020,5906,2236,277
06-28-2020,6080,2315,286
06-29-2020,6209,2427,298
06-30-2020,6334,2475,302
07-01-2020,6454,2598,306
07-02-2020,6625,2748,321
07-03-2020,6787,2876,328
07-04-2020,6932,2987,334
07-05-2020,7046,3027,341
07-06-2020,7124,3199,346
07-07-2020,7244,3324,351
07-08-2020,7406,3554,359
07-09-2020,7572,3624,362
07-10-2020,7777,3960,368
07-11-2020,7975,4080,376
07-12-2020,8111,4203,382
07-13-2020,8197,4326,385
07-14-2020,8332,4468,389
07-15-2020,8530,4565,393
07-16-2020,8623,4565,401
07-17-2020,8786,4676,406
07-18-2020,9026,4727,414
07-18-2020,9026,4727,414
07-18-2020,9026,4727,414
07-19-2020,9153,4810,422
07-20-2020,9249,4871,432
07-21-2020,9412,4940,432
07-22-2020,9547,5071,442
07-23-2020,9669,5071,445
07-24-2020,9797,5254,451
07-25-2020,9934,5357,460
07-26-2020,10086,5427,460
07-27-2020,10213,5564,466
07-28-2020,10315,5663,471
07-28-2020,10315,5663,471
07-29-2020,10503,5931,476
07-30-2020,10617,6020,480
07-31-2020,10754,6554,486
08-01-2020,10891,6698,493
08-02-2020,11054,6882,497
08-03-2020,11128,6972,500
08-04-2020,11202,7108,505
08-05-2020,11289,7221,511
08-06-2020,11399,7480,517
08-07-2020,11554,7607,519
08-08-2020,11754,7622,523
08-09-2020,11839,7664,527
08-10-2020,11942,8087,528
08-11-2020,12083,8248,529
08-12-2020,12217,8487,530
08-13-2020,12357,8662,532
08-14-2020,12515,9030,535
08-15-2020,12653,9123,539
08-16-2020,12739,9174,544
08-17-2020,12840,9174,547
08-18-2020,12970,9513,549
08-19-2020,13076,9625,551
08-20-2020,13194,9752,554
08-21-2020,13308,9977,557
08-22-2020,13458,10052,563
08-23-2020,13595,10110,564
08-24-2020,13673,10150,568
08-25-2020,13799,10210,573
08-26-2020,13914,10507,578
08-27-2020,14004,10722,585
08-28-2020,14163,10933,590
08-29-2020,14293,11014,596
08-30-2020,14330,11062,600
08-31-2020,14341,11157,603
09-01-2020,14455,11525,604
09-02-2020,14600,11741,606
09-03-2020,14762,11965,606
09-04-2020,14871,12054,609
09-05-2020,14998,12149,614
09-06-2020,15090,12235,617
09-07-2020,15127,12486,623
09-08-2020,15226,12700,631
09-09-2020,15293,12754,634
09-10-2020,15414,12896,637
09-11-2020,15555,12994,642
09-12-2020,15694,13128,646
09-13-2020,15791,13184,648
09-14-2020,15827,13315,652
09-15-2020,15925,13418,661
09-16-2020,16088,13550,668
09-17-2020,16274,13635,675
09-18-2020,16417,13732,683
09-19-2020,16557,13792,689
09-20-2020,16735,13863,693
09-21-2020,16780,13949,700
09-22-2020,16867,14084,705
09-23-2020,17049,14186,710
