







date,confirmed,cured,dead
03-11-2020,21,1,0
03-12-2020,45,1,0
03-13-2020,86,1,0
03-14-2020,103,1,0
03-15-2020,103,1,0
03-16-2020,118,2,0
03-17-2020,171,6,0
03-18-2020,171,6,0
03-19-2020,274,6,0
03-20-2020,344,8,0
03-21-2020,392,16,0
03-22-2020,511,17,0
03-23-2020,562,19,0
03-24-2020,767,28,1
03-25-2020,900,29,2
03-26-2020,1012,33,3
03-27-2020,1104,35,3
03-28-2020,1203,37,4
03-29-2020,1299,66,8
03-30-2020,1453,115,8
03-31-2020,1563,165,10
04-01-2020,1720,264,16
04-02-2020,1885,328,21
04-03-2020,2039,351,25
04-04-2020,2179,420,29
04-05-2020,2402,488,34
04-06-2020,2605,551,38
04-07-2020,2795,615,41
04-08-2020,2932,631,41
04-09-2020,3287,666,44
04-10-2020,3651,685,47
04-11-2020,4033,720,52
04-12-2020,4462,761,59
04-13-2020,4934,805,65
04-14-2020,5369,889,73
04-15-2020,5862,931,79
04-16-2020,6380,990,83
04-17-2020,7142,1049,87
04-18-2020,8274,1329,92
04-19-2020,9362,1398,97
04-20-2020,10484,1490,103
04-21-2020,11631,1640,109
04-22-2020,12772,1812,114
04-23-2020,13930,1925,121
04-24-2020,15102,2049,127
04-25-2020,16299,2215,136
04-26-2020,17522,2357,139
04-27-2020,18811,2531,144
04-28-2020,20077,2784,152
04-29-2020,21402,2953,157
04-30-2020,22753,3163,162
05-01-2020,24097,3555,169
05-02-2020,25459,3765,176
05-03-2020,27011,4134,184
05-04-2020,28656,4476,191
05-05-2020,30251,5431,200
05-05-2020,30251,5431,200
05-06-2020,31938,6783,209
05-07-2020,33731,7798,219
05-08-2020,35432,9120,229
05-09-2020,37136,10144,239
05-10-2020,39048,11457,246
05-11-2020,41014,12737,255
05-12-2020,42925,15257,264
05-12-2020,42925,15257,264
05-13-2020,44830,17622,273
05-14-2020,46869,19051,283
05-14-2020,46869,19051,283
05-15-2020,49176,21869,292
05-16-2020,52016,23666,302
05-17-2020,54752,25722,312
05-18-2020,57345,28748,320
05-19-2020,59854,31634,329
05-19-2020,59854,31634,329
05-20-2020,62545,33478,339
05-21-2020,65077,36040,351
05-22-2020,67719,39003,364
05-23-2020,70161,41236,379
05-24-2020,72560,43520,390
05-25-2020,74795,45668,399
05-26-2020,76726,48450,411
05-27-2020,78541,51022,425
05-28-2020,80185,54553,441
05-29-2020,81766,57013,458
05-30-2020,83384,58883,480
05-31-2020,85261,62442,503
06-01-2020,87142,64306,525
06-02-2020,89011,65790,549
06-03-2020,91182,68159,579
06-04-2020,93157,68965,611
06-05-2020,95748,70616,642
06-06-2020,98869,71791,676
06-06-2020,98869,71791,676
06-07-2020,101914,72817,712
06-08-2020,105283,74524,746
06-09-2020,108571,76339,783
06-10-2020,112288,77954,819
06-11-2020,116021,80019,857
06-12-2020,119942,81029,893
06-13-2020,123308,82548,932
06-14-2020,127541,84720,972
06-15-2020,132048,87890,1011
06-16-2020,136315,89540,1052
06-17-2020,141234,91662,1091
06-18-2020,145991,93915,1139
06-19-2020,150292,95764,1184
06-20-2020,154233,98917,1230
06-21-2020,157612,101130,1267
06-22-2020,161005,105175,1307
06-23-2020,164144,109885,1346
06-24-2020,167267,112797,1387
06-25-2020,170639,117882,1428
06-26-2020,174577,120471,1474
06-27-2020,178504,122128,1511
06-28-2020,182493,124755,1551
06-29-2020,186436,127118,1599
06-30-2020,190823,130766,1649
07-01-2020,194225,132760,1698
07-02-2020,197608,137669,1752
07-03-2020,201801,140614,1802
07-04-2020,205929,143256,1858
07-05-2020,209509,145236,1916
07-06-2020,213716,149634,1968
07-07-2020,217108,154839,2017
07-08-2020,220144,158050,2059
07-09-2020,223327,161096,2100
07-10-2020,226486,163026,2151
07-11-2020,229480,165396,2181
07-12-2020,232259,167138,2223
07-13-2020,235111,169842,2243
07-14-2020,237803,177560,2283
07-15-2020,240474,183048,2325
07-16-2020,243238,187622,2370
07-17-2020,245851,191161,2407
07-18-2020,248416,194218,2447
07-18-2020,248416,194218,2447
07-18-2020,248416,194218,2447
07-19-2020,250920,197735,2486
07-20-2020,253349,203259,2523
07-21-2020,255825,207259,2557
07-22-2020,258156,210398,2601
07-23-2020,260394,213490,2635
07-24-2020,262772,215731,2672
07-25-2020,264973,217782,2703
07-26-2020,266941,220323,2733
07-27-2020,268934,222936,2760
07-28-2020,270831,225624,2789
07-28-2020,270831,225624,2789
07-29-2020,272590,228569,2816
07-30-2020,274219,231198,2842
07-31-2020,275905,235658,2866
08-01-2020,277478,237548,2887
08-02-2020,278835,240081,2917
08-03-2020,280093,242055,2949
08-04-2020,281456,243713,2984
08-05-2020,282824,245314,3020
08-06-2020,284226,247089,3055
08-07-2020,285793,248948,3093
08-08-2020,287262,250440,3130
08-09-2020,288690,252039,3167
08-10-2020,289947,253478,3199
08-11-2020,291468,255118,3233
08-12-2020,293037,257269,3269
08-13-2020,294519,260393,3303
08-14-2020,295902,262959,3338
08-15-2020,297315,264487,3369
08-16-2020,298542,266953,3408
08-17-2020,299914,268385,3436
08-18-2020,301323,272911,3470
08-19-2020,302686,274091,3506
08-20-2020,303973,275476,3548
08-21-2020,305186,277067,3580
08-22-2020,306370,278441,3619
08-23-2020,307479,280143,3649
08-24-2020,308654,282888,3691
08-25-2020,309768,283932,3722
08-26-2020,310836,284945,3755
08-27-2020,311855,286255,3785
08-28-2020,312924,287403,3813
08-29-2020,313911,288441,3840
08-30-2020,314821,289667,3870
08-31-2020,315772,290796,3897
09-01-2020,316670,291514,3929
09-02-2020,317486,292510,3956
09-03-2020,318319,293964,3982
09-04-2020,319141,295063,4015
09-05-2020,319932,295842,4049
09-06-2020,320688,296737,4081
09-07-2020,321456,297623,4107
09-08-2020,322237,298246,4137
09-09-2020,323012,298966,4165
09-10-2020,323720,299998,4189
09-11-2020,324407,300933,4213
09-12-2020,325050,301836,4240
09-13-2020,325651,302870,4268
09-14-2020,326258,303930,4305
09-15-2020,326930,305022,4338
09-16-2020,327551,306004,4369
09-17-2020,328144,307207,4399
09-18-2020,328720,308352,4430
09-19-2020,329271,309430,4458
09-20-2020,329754,310439,4485
09-21-2020,330246,311499,4512
09-22-2020,330798,312684,4542
09-23-2020,331359,313786,4569
09-24-2020,331857,314793,4599
09-25-2020,332329,315636,4625
09-26-2020,332790,316405,4655
09-27-2020,333193,317005,4683
09-28-2020,333648,317846,4712
09-29-2020,334187,318542,4739
09-30-2020,334605,319154,4768
10-01-2020,335097,319746,4794
10-02-2020,335578,320348,4823
10-03-2020,335997,320974,4850
10-04-2020,336387,321485,4875
10-05-2020,336766,322055,4898
10-06-2020,337243,322612,4923
10-07-2020,337711,323208,4947
10-08-2020,338132,323769,4972
10-09-2020,338539,324282,4996
10-10-2020,338944,324737,5018
10-11-2020,339267,325330,5043
10-12-2020,339615,325839,5068
10-13-2020,340089,326339,5087
10-14-2020,340590,326820,5108
10-15-2020,341062,327327,5127
10-16-2020,341495,327795,5144
10-17-2020,341854,328165,5165
10-18-2020,342202,328538,5185
10-19-2020,342583,328895,5201
10-20-2020,342968,329270,5217
10-21-2020,343373,329715,5235
10-22-2020,343774,330181,5250
10-23-2020,344157,330578,5264
10-24-2020,344552,330995,5281
10-25-2020,344875,331330,5296
10-26-2020,345232,331691,5313
10-27-2020,345631,332117,5329
10-28-2020,346047,332550,5348
10-29-2020,346482,333005,5363
10-30-2020,346880,333409,5383
10-31-2020,347282,333842,5402
11-01-2020,347656,334236,5420
11-02-2020,348037,334672,5437
11-03-2020,348510,335153,5456
11-04-2020,348936,335594,5471
11-05-2020,349386,336068,5489
11-06-2020,349822,336533,5506
11-07-2020,350229,336966,5525
11-08-2020,350592,337386,5540
11-09-2020,350984,337788,5559
11-10-2020,351455,338281,5576
11-11-2020,351849,338702,5590
11-12-2020,352160,339114,5605
11-13-2020,352601,339568,5625
11-14-2020,352950,339947,5641
11-15-2020,353255,340304,5657
11-16-2020,353556,340668,5676
11-17-2020,353918,341104,5692
11-18-2020,354208,341515,5710
11-19-2020,354527,341956,5729
11-20-2020,354813,342404,5745
11-21-2020,355034,342882,5761
11-22-2020,355258,343371,5780
11-23-2020,355489,343816,5796
11-24-2020,355741,344311,5811
11-25-2020,356067,344787,5825
11-26-2020,356389,345215,5840
11-27-2020,356691,345622,5857
11-28-2020,356911,346023,5870
11-29-2020,357128,346409,5884
11-30-2020,357360,346802,5896
12-01-2020,357623,347176,5907
12-02-2020,357872,347513,5919
12-03-2020,358102,347881,5930
12-04-2020,358336,348238,5940
12-05-2020,358526,348562,5954
12-06-2020,358713,348879,5965
12-07-2020,358922,349168,5977
12-08-2020,359115,349414,5989
12-09-2020,359274,349624,6002
12-10-2020,359415,349872,6012
12-11-2020,359583,350108,6023
12-12-2020,359749,350347,6036
12-13-2020,359888,350549,6048
12-14-2020,360013,350792,6059
12-15-2020,360155,350993,6069
12-16-2020,360335,351192,6080
12-17-2020,360516,351365,6091
12-18-2020,360690,351573,6101
12-19-2020,360848,351722,6112
12-20-2020,361010,351878,6122
12-21-2020,361178,352089,6131
12-22-2020,361359,352249,6139
12-23-2020,361536,352418,6148
12-24-2020,361725,352608,6159
12-25-2020,361903,352815,6168
12-26-2020,362066,353004,6176
12-27-2020,362220,353179,6185
12-28-2020,362339,353353,6196
12-29-2020,362488,353512,6204
12-30-2020,362601,353682,6214
12-31-2020,362741,353853,6223
01-01-2021,362878,354081,6230
01-02-2021,362979,354263,6239
01-03-2021,363061,354443,6246
